date,excess_log_return,log_Mkt-RF,rev1,mom1m,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,aeavol,pchquick,agr,pctacc,invest,dy,pchcurrat,pchsale_pchinvt,baspread,log_Mkt-RF^2,max,r_sq,gammaps,cash,cashdebt,gma,stdacc,ibq_adj,currat,salecash,chsaleq,sfe,disp,first_lag_excess_return
2015-06-30,-1.5004400994403488,4.311284738078316,140.34584208349017,366.1023723168758,-24.323176200489804,27.742035507731643,-53.11605844594605,281.0146225886143,3146.590030450181,-37.95602603886682,88.70066145714122,3.2544601364803447,5.393838242024354,21.100702664257405,-46.94657744727607,-272.74011809824407,-31.89566121811848,0.0472199391987938,30.824908149442138,-21.623660779318698,0.3548246186013001,6.503124448190079,-13.457113605439218,5.271266332058559,0.0171858334765881,-186.2155115801312,32.9968220011242,-89.0837727044127,69.72416869511198,-48.81621375082466,195.64017097707983,-0.1116857573780948
2015-07-31,-11.450365338943044,-4.918950124249537,13.69597310546638,-29.802413105914265,37.74480148997203,63.67908300251196,27.731188104874636,-53.095289555935125,3224.2459988953824,107.00653909587903,12.574190512439298,4.896044630265234,5.408169004810496,23.380403592609028,98.0949027926378,-271.3319322569452,-2.4131281107714244,0.0176032728754685,-8.011789861909563,-69.27005201911265,-0.5679226122199931,41.274942697790834,74.12904758053558,75.05215602732856,0.0487185677478736,-140.2703239684662,90.98706570181002,140.511868907397,146.06791934862895,-20.676190080322726,-2.3944266749257963,-1.5004400994403488
2015-08-31,-23.125465230470542,4.874085450462696,-17.639430705636197,-28.16167019550804,3.539895341765821,-72.62773054225387,63.63112753140789,27.710304289858136,4129.89710356875,119.41013677040728,25.986413751138688,3.7823813233202537,5.7654128613245845,32.1905094452795,116.44383409814368,108.09500474285392,-35.98221431094703,-0.0013528031758852,-6.062960146698572,-1.8387470231512,-0.913525791095206,-17.86239270497424,-13.031034058312912,-6.17471428983049,0.0066663535805255,-274.5847899912801,112.32152673706103,712.8345280126623,86.99218172886026,1.3503639922869295,-1.2325184870640555,-11.450365338943044
2015-09-30,-14.088012173801085,-19.81647407043016,-161.21650868692467,-497.1816928667228,44.95492761954137,71.61021698849281,-72.24573851549788,63.29645394063183,4540.766971309516,93.81467501770835,64.22386799239653,9.13001919732374,1.0112193350707115,40.51018463458663,94.24610572697108,9.068863235974913,10.176741082639438,1.1600978572034557,-0.1148849522830914,18.235622336093684,0.4142005479916502,3.07085748053089,-4.091364642559995,-3.0443820370072103,0.0343379867201081,239.51849384878324,-32.89769590110336,-415.19894714786096,43.79427498546545,-159.86131704767644,-73.85587358875534,-23.125465230470542
2015-10-30,13.40220752526651,-9.865322841330013,-326.0680000822146,-698.0161437529594,42.82305872304071,-288.918792576224,70.87262293288802,-71.50159850988423,4652.002728882553,25.236857225766748,5.634949857666867,9.468071764749808,0.6071046796030812,34.878328314486886,25.688481641902406,8.235740822003446,-21.857245938406464,-0.9269748796726676,-21.142313568929467,-44.16907739522344,-0.405854402077775,-22.705996690943834,-83.91763323280391,-90.78803327976124,-0.0082866781072499,-1659.377298258383,44.80306678161787,-329.0653491701605,-1147.4412594817593,-1.120627523402561,43.75698143367868,-14.088012173801085
2015-11-30,-7.410957307057828,23.53540688188672,-194.3329112974133,-481.17374367907576,-48.22561275612124,-143.6615832690723,-287.0411577621681,70.41203363374389,3836.206134863195,-16.793341974747385,31.23255914078448,8.813958821521068,0.4440820415911432,46.84019474823858,-11.200807000515864,98.53400062567852,50.978655060117234,1.4491543649820675,6.085507620636577,39.0883801887735,0.6317685374593827,1.6881737957155565,-8.08753077040572,-4.106465110864434,-0.0402908802741002,-71.95060327784267,-161.2805472146024,248.67930940121187,-145.28086019699052,-41.47297297196761,-49.39835367234639,13.40220752526651
2015-12-31,-14.466424538483436,1.7655838061497393,196.3640865816305,-436.2263466806016,37.05010731491057,345.70431761320503,-144.4123163163337,-288.5411501620334,3776.254633105882,13.127943536832891,124.52946342053863,3.782794122662136,-0.7505703521813918,59.49877816696557,11.708995571673505,-11.774263941125952,-7.480166052653459,-1.7469064676278188,2.629720553098764,40.33399239561891,-0.4029711886188065,-12.093657952523586,-1.2543461414263604,-3.802943658083862,-0.0359499207746014,0.0003847905393286,-15.983856712407942,439.10591487069,-1.5683648310048284,50.287927102437735,144.17023913343672,-7.410957307057828
2016-01-29,-41.0854526731087,-6.92692442150993,-104.45508913396434,-322.7545135855331,10.297338474676913,25.801840641829617,344.8800743713701,-144.0680022025173,3978.87288798072,-135.83437495422126,71.97685697007259,34.595970773318534,-1.9752215077604824,61.120679408494425,-128.25244292478467,-7.177032589501295,-9.297317582247471,0.1420941377323445,-25.452120458759225,24.51910206734624,1.006379342293064,-90.64749282426357,-20.520533255155144,-3.281939484759249,0.3328636694954265,1419.2932341108346,-281.83113144718664,258.0309350158759,259.8996361914063,-11.280222290198136,198.8258312523292,-14.466424538483436
2016-02-29,-3.923274585423433,-18.69425544818931,-212.8403552508257,-725.4191333712872,109.47962446832068,-100.58593190490392,25.60594952015196,342.26169742878267,5269.293480655696,-104.8270385779173,132.6942977187336,33.096190839006624,29.5886864595344,70.64150088861305,-105.20621266217262,0.0,0.2170684467020009,0.9589610175017468,-10.232746784231438,46.934480964221166,0.0236697677506986,19.664307111457504,2.1235652590576777,-0.3349447213537502,-0.0312519205690835,12.705712767088784,-21.13386160421805,-868.2511151832978,223.506555566496,-5.284006777593454,393.1311400337156,-41.0854526731087
2016-03-31,12.058070184762892,-0.2494626429140201,-584.3892826627036,-951.1708297828744,13.134690201576184,-267.64967783159426,-98.8019048341286,25.151793494038422,5478.880759404242,-92.9375016375178,-45.65825598067489,4.479458732569757,37.42129829192496,79.01966063115887,-82.96730805737613,0.0,28.31640953049586,-1.1107152280816404,-12.624722708739398,83.79759998675922,-0.143076311218085,-31.24292619234632,13.228030248765464,-1.213681273833345,-0.1126091114726235,-26.92988012235088,-65.49741707872909,331.09242183184324,-93.71509409629849,2.874510093772031,-429.5966122567343,-3.923274585423433
2016-04-29,12.257246071232355,20.94555120141759,-48.4309046013187,-658.1635244795277,27.437562517198035,-3.594169608310678,-266.9214238480682,-98.53307252557376,5869.275927506966,132.60470760957432,128.11919818006797,-2.338884075594143,38.36539278940512,82.60515861516609,142.35664841921437,0.0,-30.12570136454454,1.4088435383130906,-44.48930144801119,-3.142978758769232,0.1414195143007855,-19.669718535726872,8.028470174564191,18.059123490898784,-0.036115904452266,170.61588554896568,218.1759277293177,353.0655989341931,755.937130231709,-284.29274406984723,-59.679152318682895,12.058070184762892
2016-05-31,0.5753869501839541,2.856155949144104,192.36805307222824,-262.48816276332786,-29.625070423210506,303.2863461891436,-3.607514538988076,-267.9124866764133,3414.5660733993022,71.33251051878541,62.97111644228033,-0.4205750530297835,1.122273654192208,54.71071134514591,87.74453779944236,226.9153077643802,60.12840069202869,-1.3828892725928332,80.2860270978943,5.0045280066201485,-0.2717905911160868,-13.181586657332788,1.2096622723352937,-1.5777689985073664,0.0296628408949413,290.8072598827227,-343.69371389834123,292.7799167470912,-256.9149197011029,53.56983382085477,20.317712138679557,12.257246071232355
2016-06-30,-12.061659266257069,5.519533159419067,186.834445388134,352.25515957146115,48.99606479134839,41.530203405284574,305.10009008455035,-3.629088564838223,7613.244357142204,92.03015529734697,44.57635741289023,-3.8172348682102393,0.876477614789311,21.37148970360309,98.6010314974742,-101.07624373257111,-62.88473452078364,0.0712199651396981,34.42805837434054,67.61655243191399,0.941531119249242,12.090873567241204,-1.3448991636225216,5.037164334122949,0.0140473178811273,-258.6509812940748,6.426583157847745,109.61121369506418,-92.06300190167718,-202.51170331724663,26.80949406790808,0.5753869501839541
2016-07-29,20.85308330476328,-0.15638230871268,18.821354658179704,217.78549699178305,61.02426304629441,79.94447607090311,41.4956628824862,304.8463394223031,7431.248809711296,-155.14856879690578,-18.270133212531643,-5.372333543618751,1.0018955113315862,27.170469145575822,-148.61444223989332,-101.15293512765857,24.509910213733438,-0.0972956477025637,17.777097371861828,-37.68172532372046,0.0849935157048161,61.7822698754635,64.68066303519018,113.85412193346424,0.004071491401612,47.508915110052286,-193.6183825508936,113.05011670701516,275.8249441149108,-28.20975172840048,1020.9964164986818,-12.061659266257069
2016-08-31,12.016326570107417,12.079108862330225,-183.9349835193306,321.0631602901745,-4.823958011072781,-2.2527112121463104,79.47607304746033,41.25253546569407,6643.416462743865,-88.50082246437242,30.47730308471866,-5.589518201245877,-20.486034870575683,40.57404808112024,-85.82711133292244,436.7993062117731,-25.506912936109103,0.4677723828972377,-6.704659899717285,-34.684206250651414,0.8823277199641087,13.469020881196627,-3.457399613477847,-3.016978417777665,-0.0028921461066304,-50.66210442100076,110.08594411480249,266.1814162399787,150.55696970188842,13.93685648688097,-142.6273256134923,20.85308330476328
2016-09-30,2.762663595403136,1.5622761006999226,299.8832135590263,315.3581325829167,-2.0449677784577296,176.03110206523314,-2.2726168739858017,80.17834852151283,3029.102082634948,-15.41156566595832,17.63231871499897,-20.028728451875324,-33.61441960106633,46.715408782698574,-19.509556272859264,487.9854850541987,-19.328210649968952,-0.4600602496211342,48.28413384117823,23.593129671729,0.9477190542048136,-51.15675183325783,-59.52282218384564,-129.36970463901636,0.1461681746716117,-1452.7708316494216,-18.746314486239957,-3.5308322864802903,-1077.3196539725386,381.5441117158994,-688.4357236827162,12.016326570107417
2016-10-31,-6.644803209753445,0.7839211159545328,200.29703322249895,348.6170218961417,85.17070957500502,22.77309217136299,176.88708868594694,-2.283667930391841,2916.982496290625,-14.669244310638533,18.656156004913097,-20.282054357497948,-33.74501510590274,46.00161212270615,-18.8898823349418,491.2829870611634,21.008526836953425,-0.0058333809387391,39.1948155820304,-55.51225250313064,-0.1361699653086572,-0.0296288595408782,0.3264966766866521,0.9901271481060688,-0.0230106538212184,27.75991296807024,10.348105032369858,94.4671064350805,9.916638243866885,-57.34547374330147,116.37674847648692,2.762663595403136
2016-11-30,39.50411432924803,-6.422048717495265,36.5151992405107,447.6643179104192,37.08581348011252,11.451926785288236,22.8754278752162,177.6819682124956,4425.943908745649,-34.12305474202968,465.4905407673699,-23.582763280692998,-5.535391023019137,55.48863726218385,-28.588815192931925,-2775.040224752827,51.80427965413091,0.1290702298315555,12.607446343928244,-17.12772616080065,0.1778897410641189,-2.9381398582192446,-8.606186172848837,-6.486708195227635,-0.0144911220996863,-41.29543457976752,114.30217719915208,-480.730792392319,72.7846272156865,-0.5154058705319073,-382.3350136658562,-6.644803209753445
2016-12-30,11.56169951441096,14.9112470683976,-90.11539109559398,745.6805823091192,4.896246444206252,-93.28657871265696,11.414025815033089,22.799720011576504,5225.822214323859,-35.770206458660006,415.38604743031664,-11.913058288836549,11.182796454734302,65.9893534862764,-23.32985841573575,-3154.068498894498,21.739844826460228,0.5765309053631693,-12.471105730691193,-24.41066277118739,0.1792461804469067,-36.39048694422502,-0.1279144147447439,-3.029898615154579,0.408177032783457,82.6911439904045,-17.94667915791888,84.41278591990613,30.957117412756773,148.24677629770008,261.3728296676853,39.50411432924803
2017-01-31,-11.18439093526591,5.712109010253882,612.689062968479,738.7302408473394,12.970379362362369,220.60542548680527,-94.85404514953689,11.605812271580644,4940.087579550189,276.12042746221454,472.1920426214382,-6.886994740835147,17.684155536431525,69.38753511822722,318.0946371785536,-3184.192699398004,-42.877832197521656,-0.604563295582774,126.51107086221316,40.845517543087,0.0217674559655192,2.7981050900658038,-10.992032003350609,2.967118975505372,0.0392741537213412,1359.1019063713477,602.4448468144074,-242.929477141518,287.938972771337,3.917787660389712,-77.27708602194082,11.56169951441096
2017-02-28,5.030297906206882,6.097630026003536,182.05751302990816,564.8845874300091,-0.0737550094100791,84.20551574242666,221.60007455436195,-95.28171589858476,4947.976912232314,273.71809827496213,484.2308493491362,-8.833512630187254,17.84526326423466,72.47826651938242,315.5091577688464,-71.86466543759022,76.96203127352217,0.0141195216792967,9.00542373907308,15.80760010766562,0.6561203035878185,-6.768034405603657,-6.085954282815926,-4.088498578621412,-1.541412598848879e-05,-156.90679636696944,-6.990560057348375,77.37633410304716,29.591732332552997,-9.76394202817574,-63.120343345346896,-11.18439093526591
2017-03-31,-4.47507490092093,11.100577811106064,-136.25286680587675,757.6727743796005,-99.77983213922305,89.25996695950025,83.79663729908646,220.52404654445087,5294.420377866487,160.2616302366043,13.711672632190927,-8.292551924259289,13.75988434976476,74.26576473026523,183.60103834561943,517.792435504265,-51.93144290527948,0.2721126218118692,-3.755592938186055,-61.20691504155138,-0.1852424529638203,-0.3506898068253008,10.912107551390903,-1.9435528020276396,-0.1215667248195435,-147.40185093407433,199.1303290053429,-72.69581959765037,-131.9745968446554,-49.65343916193062,64.70025677190574,5.030297906206882
2017-04-28,-8.24013370777557,0.5368639263813354,102.65921308026635,87.64667922045341,-26.185166446088285,162.76591084553914,89.15691943350524,83.69989699708422,5114.618196983973,93.59226684342144,101.74748359843107,-11.872499420436862,12.399768007089474,84.91679103636446,117.08513889506378,569.1269703369358,-20.79006238656044,-0.3883153372569607,-9.507517347609792,-0.9449717096147195,-1.1062083872081847,-15.011496245595822,8.238988752953894,19.435430371774657,0.0980163873228612,182.61433052009767,119.7674738184055,296.33353713955785,617.5447591886689,75.59279606222077,-169.19853652771235,-4.47507490092093
2017-05-31,-1.2016311249056764,3.421658004174405,-54.49841765046775,-207.28907535336472,-50.6001609486709,7.865040405953117,162.4126642263305,88.96342449217919,4165.520310786811,102.13853232055344,102.54570012812022,-10.94399425491858,12.46981642185095,50.91272026916259,121.78440904567417,-185.28038447403375,-13.480746617467815,0.0361638119937679,-30.27456148503961,-22.109674455897675,0.1604400195596445,8.864333555750079,6.441791610104652,1.0134084938540011,-0.0289198153667502,345.6297936679656,121.69874652565976,208.44976164737815,-381.45771662915126,-1.6313178506222386,-7.784903625885931,-8.24013370777557
2017-06-30,22.18041998570433,3.3213049307993927,-96.6191919424507,-79.29497356353176,-33.85050148771213,50.012465955450345,7.837314809780898,161.84013214649718,4831.093414665446,128.41374503302978,54.870696526329006,-4.695045386024746,2.2096786645947377,21.73329963902749,121.99267434607096,-94.6450650628412,14.782915797297676,-0.0020763459003357,-39.18707366644821,0.5767292847015142,-0.7776769802283034,30.875588121529915,8.787608680144658,9.429669175015562,-0.1620496476397659,-190.31626572907533,149.65570563065603,-256.4331697702373,110.50433629099382,-104.86252945485784,-86.67876717593958,-1.2016311249056764
2017-07-31,2.7740045080154943,2.4470161023482926,-18.216719075365752,158.78819842622954,35.02659315299307,48.611406297269966,49.98501977137431,7.833013794407599,4842.576523169415,-34.59335122977714,9.14460210390745,-6.001858065491558,0.43811548417126,22.87370092156256,-41.03610554897333,-94.84404388566648,17.428062614610837,-0.0159981871730404,15.483496921724168,-27.98762266567587,-0.4299745374645052,71.37250913792394,78.65778895128022,130.18075778091242,0.0162970418641568,69.07624455917599,-172.66751003770287,240.6770936876865,419.0470090835706,-42.48671115084528,-20.421337516159213,22.18041998570433
