date,excess_log_return,RF,log_Mkt-RF,rev4,mom1m,log_Mkt-RF_lag2,log_Mkt-RF_lag3,aeavol,cashpr,ep,lgr,cfpq,chinvest,pchsale_pchxsga,salecash,chfeps,sfe,chnanalyst,disp,illiq,baspread,max,cash,acc,oa,ibq_adj,currat,pchcurrat,pchsale_pchinvt,pchsaleinv,O-score,first_lag_excess_return
2013-09-30,15.293716959017068,0.0,-4.862608983695659,-55.60437710929934,136.7454876309421,-31.840563251245644,72.83301354901393,1166.309389389629,-6613.370049677215,54.71775010910315,49.26271880739287,409.0226940530704,-8.157357064447439,122.07523708387929,4706.420272569369,283.7255290502783,79.24437300620633,-732.6508808891567,304.31643552475344,0.0338888178678872,-33.86001225661525,32.50265957047765,7.369637741247743,-13.308692569075248,512317.86088712513,26.564002019608964,45.30448816845501,16.07074886419501,79.85457684056414,38.15476462276979,-349.2041753976155,-11.961846509923884
2013-10-31,8.490123722282693,0.0,6.534775508789089,60.062217907609465,311.1509727494281,144.2247092181225,-31.679679016398257,1524.7814128602768,-6346.219897530145,54.798757948097695,38.27060712090785,365.23232225875296,-9.946295976126455,107.7205930832408,4626.436003932692,443.0630664551399,77.05218730112449,-418.5627651300909,294.7495000348122,-0.0260753699187668,12.645496357177024,-15.900377130643392,1.7893600335810331,37.25784974085876,-394307.7185398787,5.23507529561445,58.99948610748197,8.613735265230765,-25.917688487663558,-25.10081482603539,42.92893932415609,15.293716959017068
2013-11-29,17.87685297950588,0.0,7.270970032410434,12.003969538732678,448.0375616994005,-72.90313237264643,145.84236361425687,1444.7578584188652,-5751.641371182354,83.98892780027168,-18.415236570208474,413.99376669114224,-64.19319157243716,9.727566219194015,4815.785093723247,404.93077621849335,77.8954295919034,-786.5381860244838,235.0891819295308,-0.0141189711373576,-12.55637877638972,13.051428580525794,-11.681951497714294,-23.710596220810245,558381.5141953677,-15.796550209459085,28.330873133175828,44.89254154670388,-337.1355307503624,-381.95702860579536,2373.806615741343,8.490123722282693
2013-12-31,-0.2790403049314035,0.0,5.489431379028673,251.74418546405832,471.779055973069,98.88694001790827,-73.41415565799247,1759.7230219742462,-5648.434593723718,94.3053457009268,43.78587429318966,470.96004218032215,45.644760629630944,1.7696314277289105,5545.366756279721,-832.5710768160477,34.73068746619764,3075.0327461541647,2710.440696995841,0.046483413480869,82.27609763775234,10.98589771975776,-62.50120859338807,-12.088261546652577,632179.189310208,17.138019344788674,-471.6052300620922,-49.01990180062341,-28.01159904024756,20.644771783129293,-89.66382048908599,17.87685297950588
2014-01-31,-2.356370745284326,0.0,4.970449950094722,-185.51060129150397,654.8035998002282,110.93443716523043,100.25205493387752,1386.9996763171885,-4934.539181858628,94.7502681351702,47.75160403886902,481.0231803069728,70.27800713997117,2.8290318778394656,5848.256556099458,-870.1109008406117,35.87180951022113,3448.362324467623,1061.431281020948,-0.0451422272392723,-110.42889019295676,19.694009758928477,-4.938205610528371,-7.928122678814617,780038.5602655262,-3.7854205299174737,24.469321205594497,-31.038434296787425,11.935944126010853,13.486967161221829,-78.75508326133604,-0.2790403049314035
2014-02-28,9.622858513323806,0.0,-6.5861477008710985,238.5252132115645,475.75412496978936,91.07425944034031,121.00819126247136,2346.8076145667824,-5686.131909001218,67.26522801568198,170.9895099475748,487.97257936445794,258.135692858906,-221.9291099516876,6099.571180040653,-860.6208906518183,44.4995909391508,6145.647622940843,536.6159568176433,0.0178082805730706,32.31879951237923,-0.8136319358334276,39.41403782667442,-18.047283682688715,9851035.399918482,76.1562439857543,199.01482840206245,-6.507730281992664,-153.70740127365306,-54.30650135029648,-893.607390500003,-2.356370745284326
2014-03-31,9.846350739146338,0.0,8.881901852219448,153.5272880094363,482.7054171345681,82.29393426136646,91.5224678461637,2176.133873652373,-4309.777746961088,59.12973289918783,152.3963839915495,521.8997673479724,110.6885190863482,-231.52191361442263,7542.093921601634,-799.9092145620697,10.08830464350386,2951.2060219081627,563.189198592205,-0.0012621017123755,38.79141902417305,22.57281742209517,-8.428824971960978,-8.881682227120763,986022.0123422444,-18.69026443042432,-90.0735188188046,113.34847892701946,-18.1114743545956,-51.21814991696189,-69.26499406610492,9.622858513323806
2014-04-30,-2.9351768153674094,0.0,0.8445521130282951,276.51437811637044,362.3432189935606,-101.69523580800984,83.46919339194253,2351.3503164184003,-2671.743706118738,39.1962486951618,179.5894021196207,541.8212163210984,108.30305683879746,-245.9477778901757,7459.275861152402,-598.7730001067857,9.493923787750251,3323.516717940838,664.9953210545162,-0.0229141102202072,-28.34517345404015,20.501339330692986,1.2719481111559503,-24.88987202441143,604319.0603490695,-59.25271283262677,56.35787845319055,10.323724669482711,6.814724433947504,15.278853805082804,-73.96780302309526,9.846350739146338
2014-05-30,13.146855502082746,0.0,-0.3761497428766792,1.8412809463165145,325.8923245539664,138.17812251110553,-102.64610322351278,1655.4045456517351,-1085.6067918793456,0.3388575993985689,134.75919852017032,283.56143810042386,-189.20805047889067,-20.21134107444941,7386.101591866229,-624.4875041448238,7.069233168984513,2337.2826099242425,526.9110710779271,0.0051402392471004,15.287896644926889,-6.597107056648667,13.985367687974986,81.91644138171009,1036189.688623622,-364.1887842999664,-27.53195487063431,-78.8157642799035,490.89827393799817,397.41238278874266,684.6290074524641,-2.9351768153674094
2014-06-30,2.200223775276802,0.0,4.03203286766218,70.81027339941394,464.8232492841978,13.041554263731626,138.1461915413603,2170.0298381705343,-3096.834143241173,3.903150180582607,197.60270140619303,151.60191074140909,64.76097363905504,-64.55278527125738,5685.263558672893,2082.154233133136,61.10330652513147,4145.701932991038,311.275096779317,0.0062350807850014,-40.39188569848241,-0.075942137715117,5.348304270767926,27.7819244951895,293894.5652210191,89.15734442172365,-83.43767955074782,-50.23606081550531,-91.36998556726556,-102.43492810020652,-157.37322641431092,13.146855502082746
