date,excess_log_return,log_Mkt-RF,log_Mkt-RF^2,rev2,rev3,mom1m,max,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag3,aeavol,bm,chinv,cfp,agr,pctacc,cfpq,chinvest,currat,pchdepr,pchsale_pchxsga,roeq,rsup,tang,chfeps,sfe,baspread,gma,oa,noa,operprof,first_lag_excess_return
2010-06-30,-3.87212406209789,-3.035358015740436,0.2494399880503355,28.722880431082203,-13.23584956751234,44.91685592862112,63.39413063584577,0.0,9.027697250208224,15.243886321155934,34.740334775157,355.61459083437103,0.0538153556100975,30.000336417959403,4.40809195403012,-0.7632964635830171,30.000336417959403,-4.5112589641865295,606.8963575134845,-20.55417786668511,14.462947695272565,34.218456873834455,37.546976905773015,120.59187125120778,59.9851188352323,46.8919116248943,9.81195435440453,2.9700048571629694,1582.1377195714158,1390.2164346570207,11.846228990629236,1.7702315866219576
2010-07-30,2.741274922165857,-2.125672648731602,0.1218126782171494,9.20922035728427,28.65888516818636,11.862385932892527,62.61049190547506,-8.961615339005185,-37.76498313909258,28.11677660196237,36.65209885833202,360.91565684966827,0.0537233092051094,30.56952283181536,4.3975151580802265,-0.7868965068858497,30.56952283181536,-4.474638197364705,610.4175879838051,-20.58581146808089,14.59966852777179,34.2963680950738,37.7448751520764,122.17762988898656,62.12115426129934,48.14112954844891,-8.33081406353935,0.1924708631533604,1033.136391183507,425.4309881083027,0.1391278438088079,-3.87212406209789
2010-08-31,0.8902693739045724,2.4630350384983863,0.1650177898208598,20.21269477613676,8.981843633101978,15.39078717494284,61.06183524590135,7.381443215378992,-25.88111893826452,8.942658474962943,-36.82344466611246,365.8808478156901,0.0536191455870305,86.78324913464006,-4.293933027375366,-2.248644043833658,86.78324913464006,-6.482839389382721,602.3161422334139,-15.626724160978888,0.7872405076763682,36.70460814537175,35.842564264944926,137.2520121203016,60.52945300853732,46.91005471575638,-2.1400863569592694,1.429878257757295,2273.9141820411314,3036.6548434184515,0.939634495846022,2.741274922165857
2010-09-30,5.352606656237319,-1.807971161562957,0.0883558478407683,-46.46764861272049,21.010246330209924,17.713329534209638,53.373641709984426,2.4880450592827774,30.62648506516185,-37.5658426331114,-152.81048035166305,388.0891842718533,0.1527149521453572,105.63171274278886,-6.464909688763166,-3.356445138007202,105.63171274278886,-4.036759250042406,602.5128067269814,3.035105816345591,-17.987787647316402,29.887592584771937,35.58903897776955,138.04515160681206,-4.7736297298886186,35.58851603737006,0.4285417132777311,0.1563776584960621,4895.593747337902,3329.421553531545,-15.138601750063046,0.8902693739045724
2010-10-29,0.656231908466256,3.378245290377698,0.3077949014425108,33.331084662719405,-46.80092213183656,63.12248236295113,51.12883107000019,8.301589511672397,-22.43403608635309,-26.306297167345328,-152.46171332671165,392.4219067588808,0.1526267201111264,107.42560393583892,-6.694440575119957,-3.406353965712949,107.42560393583892,-4.065309623728639,603.9280604822277,3.1515180471951165,-18.08741228094,29.91477997838443,35.52131299780756,139.87486563561887,22.26716748136593,41.47559117897292,1.1742698288525482,0.1161854678917748,660.2545452789636,259.5699401230668,-0.1686552524191569,5.352606656237319
2010-11-30,4.587693330700623,1.4277918669082996,0.0543452723850241,11.420623190421136,34.282150832300765,120.85345799480528,61.191855901120256,7.975054120242806,42.792269915007054,31.46699409838943,-35.44323369410636,323.9197204130382,0.1541659644104155,116.40325330319853,2.936088086773521,-7.645708554697717,116.40325330319853,3.1462662817862235,605.0252034713678,-6.142005701399978,-3.94858584862838,28.129361532507623,44.70376596409736,138.72415841925152,100.68903399297572,56.432289376824286,-2.819006916168446,-0.3157037762005146,2212.858733263216,-423.50446502363775,-1.072478990826724,0.656231908466256
2010-12-31,1.562155875990013,0.224716873771744,0.0013441373099403,67.54420779718274,11.68362291462559,145.46252101502168,61.50310880188775,-2.58399413209003,17.92824711971551,-23.018910454172627,39.084958968900125,314.7188873687685,-0.1394732374265284,135.33213540516545,4.118744101820759,-12.196129627704549,135.33213540516545,7.213375307314006,609.5922964107253,-29.65843909575784,-1.5259248175552758,18.822092291748618,27.348268882576264,139.07761604596047,-27.475761920449628,34.92217015255561,5.3882097114499725,-2.919991484586234,-1976.187184782117,-2638.555407732012,-20.691906299113832,4.587693330700623
2011-01-31,-3.587258093556866,2.5014045112663403,0.165014153566143,8.251576493768859,68.67855678154861,157.1516238958872,71.7682720259948,-3.0877275158229924,2.870429744389788,43.7229253564918,41.1656377938565,321.707517020786,-0.142871217677871,138.3102001119328,4.18583270897498,-12.410277782420444,138.3102001119328,7.3741980733056,620.5111293010382,-29.86098987971129,-1.3689468230318491,19.17535104925381,27.91749001102769,142.7124571885963,-28.96401856927669,35.80524374162472,21.56020823466412,0.3959532097095746,3951.450872342218,2091.5000345446897,0.3648214358360775,1.562155875990013
2011-02-28,4.135428217907918,0.7494218480652133,0.0147655793600406,60.31759797602186,8.390842310729374,44.75539050670256,72.54777381695585,4.58669094557347,31.860025282491858,18.382548262911754,42.85118809412053,324.7534712609048,-0.1442917426919377,139.70196515216782,4.201339734468909,-12.485709415376723,139.70196515216782,7.454448222692494,623.8678950526711,-29.747833641136324,-1.204464107120879,19.296665460783483,28.165347289866013,144.56756066672352,-26.55262599216912,36.3571090162744,-17.057180018688314,0.12611795743436,1449.0415951515315,719.4188637214684,-0.0263688536920128,-3.587258093556866
2011-03-31,0.4651576062511491,1.2948506212709017,0.0444152236954153,20.747781040878447,59.54062857131171,87.30711728830283,71.37182600846401,12.992040146812275,9.374577915750528,2.846004174160324,226.54036261295028,260.6045541663266,0.0326774361932544,110.82717462452456,2.641921557612908,-11.465582828482468,110.82717462452456,11.86870105257491,607.5110217888542,-17.803482071389823,-1.516306842509012,19.61486491819392,19.29810789334476,141.05770254313126,-25.975705645352875,35.6810772474387,-5.157737925592286,0.9077804109956134,1819.311520309828,3240.6522069697967,-0.3083865323060806,4.135428217907918
