date,excess_log_return,illiq,log_Mkt-RF,coskew,rev3,log_Mkt-RF_lag3,log_Mkt-RF_lag4,pctacc,chatq,ibq_adj,chinvest,pchdepr,chfeps,sfe,chnanalyst,disp,turn,RF,mom,mom1m,cash,rd_mve,quick,stdacc,oa,noa,currat,dy,roaq,roavol,chsaleq,first_lag_excess_return
2015-09-30,-14.864737012300946,41.34070035834108,-37.35467021439195,-467.22020800524217,258.6533077533875,121.4192782444362,52.8760887530643,-408.06587076041217,116.8465319932466,126.5648149141718,-55.66275914139028,130.36252707788918,200.86909825888725,204.31977435061376,-5596.648194028022,1493.9151067814505,1012.8226251908468,0.0,165.52428434331432,-234.37380552107496,55.10117961156186,0.6858198575101238,787.5676791338337,0.0812571467090883,441169.9282124639,466767.5713392347,751.9037559260323,10.017824312414518,-10.442703972623562,3.3123073103627974,691.1245227932842,-25.91106053628063
2015-10-30,37.78261185125828,25.14795720884725,-18.63498326081132,340.83278211882043,8.587360789784015,-137.76911220534956,120.70326145641113,-109.95952340846364,155.6775230670523,143.55732169100057,-207.56368502342536,219.5690890991748,75.71406253557322,125.21060925702578,-1401.0229338758706,1438.189172939334,-90.29419527651136,0.0,-410.50896056075817,-389.6985498252381,8.731506833915773,-0.1950391755451104,-83.53600134337103,-0.0576113751416276,-943720.5895167142,-655733.4744398445,-184.5436510179643,-11.424214451558695,5.122662177536753,-1.0601149503164464,-89.83975257536054,-14.864737012300946
2015-11-30,0.1876369632260368,11.05514189653987,44.48997168535022,345.7252839827596,53.316912239382766,136.0382370725263,-137.24554004954845,-108.9643914112332,130.91505228774827,416.88175837183456,-270.8243039537206,67.24555055376364,9.075236919186455,121.47601622240832,-1265.3346334913217,1521.4020413871076,-737.2906350991225,0.0,213.05382401830596,583.2012864416847,-1.543010752453938,-3.2356898077768954,-255.06341858806627,-0.0911326778302736,-1665215.5092282295,-1405452.945804432,-387.5643426149509,4.398264793389799,37.78283528693461,8.159950066202924,-120.17700374620478,37.78261185125828
2015-12-31,-4.908030902911044,410.12018830879646,3.3428704456128893,469.1912204818923,-347.80042069812265,-559.192509245704,137.17155433636427,-18.24233765247397,13.910510553687711,325.37114806086026,-204.87053409034064,272.5363275672844,-787.350724529064,166.4535051880069,1553.8448678066666,1422.586850596015,55.27498201247681,0.0,32.16820259073029,-60.07584610680372,-26.4436429689564,4.256272996065412,-713.3764533248032,0.0217572478030616,759709.6637051404,-11036.794102594256,-689.9731999672294,11.851150504867974,19.17661536628455,2.836222824282615,374.8241337162812,0.1876369632260368
2016-01-29,-12.49020797041806,1337.5432734063554,-13.129787067059851,521.3222212776061,-119.99133025480376,-279.757769333788,-558.9663720476318,-20.464557919440598,7.789865499993557,319.6519609284997,-39.61031235014158,182.9119605688921,-1029.7863601121642,15.321367306373746,4271.488892772576,1499.9155982923678,-1210.7941001634904,5.985307860177206,-262.005737771703,314.07683699770496,10.569710358795533,-0.3356951347076773,56.48149795069549,0.0007865244746829,-556345.1787100285,-425638.9427444935,41.55737053660778,6.480717875602778,-5.228751696817454,-0.2911549010439387,105.68279745896872,-4.908030902911044
2016-02-29,3.3204033505266666,14.089302688629129,-35.53476008532268,608.5836898497859,557.5314473317794,668.7547056220219,-279.3613245940989,-51.11209433259268,-55.96353928101402,303.8891064429881,23.371199321630517,212.5985587158074,-1182.010294557303,18.31165087122205,4920.644412465193,1620.9481389346065,2910.244222283469,-0.0055886545077257,-319.12845230399944,-57.79714211681613,-53.62070284829235,3.6881853810040326,-600.7755973945095,-0.1268590742017545,113361.18864625692,28448.85078011453,-676.8079959106199,19.521576351684857,24.61385949627916,3.301630706465062,39.81898378714027,-12.49020797041806
2016-03-31,30.65902727094948,37.02474795089702,-0.4780281687125248,1224.8853242527523,4.798976938116406,49.93282390308937,667.4266483667752,-78.26449145259659,3.083300839246033,-736.56696034778,156.41410717114547,-8.204160289671186,-1004.786930410523,14.428423533854035,4066.710987492416,1673.0294294536009,-991.610571523991,5.968295632999708,-558.23258122465,-499.0730244195695,-17.3834550677617,8.763755189136035,204.5458920262845,2.5165794043727097,-1638792.880502373,-1831587.5137559476,554.7334543391971,11.898900819799536,-60.45528970984191,0.242754272954599,-793.5464866818123,3.3204033505266666
2016-04-29,10.106295300821133,4.835504735585039,40.21092993344103,1223.367320108059,-41.89438892010677,-196.36742377682216,49.98884282729854,-146.58984924653893,0.4590686925051597,-840.0509282946849,153.69858537947556,-167.02357031150453,-454.42812311714,71.0800466167988,1911.6198752265225,1421.6252134317745,-555.2492863750144,0.0067658190540331,172.2725487436942,472.6100398898569,29.53294199760819,9.252811841171429,118.8957538015693,-0.3141588632226906,-111822.98792044818,-5511.791755571961,161.95442226758314,3.2436974077318865,-17.910652662568992,-0.3666585059887808,-189.5638016367465,30.65902727094948
2016-05-31,0.3137002042884192,5.562259582805928,5.491886770458637,719.7378017160372,-181.18811408719176,-535.5717230102498,-197.70435308352413,-114.83282518956268,-1.9933239587947675,51.96662205824047,187.55261941462064,-291.11128452310044,-206.95184585240108,71.75043455820429,468.5167252705004,1323.176081530089,64.95810577227303,-5.957320771020678,-506.5373432285383,199.0445618749821,-5.754301173301997,-1.882521453469682,194.0173382170324,0.0528780377873348,483518.0349882394,1068596.4511300176,282.0261606401382,-26.545758641399303,2.237063140722654,0.8430839985595355,-249.99559044383489,10.106295300821133
2016-06-30,35.23363276310542,4.627628049987157,10.59134274953326,616.2506262313673,52.88967104114307,-7.22647951983065,-536.6753417484707,-97.7364099779087,270.63617791985206,-39.91552762839141,319.3469574028827,176.42451485525558,1354.548273151654,-1.2564760064411358,3146.2450302447487,1166.3403933590002,523.4131570833542,0.0061303968243198,-269.8716507557769,229.10051898884927,23.98736866972308,-5.168404484957428,630.2060771352044,-0.2290521444466611,1243079.6775063276,1537602.6509443223,821.4248777239463,-29.21106132509996,-7.583071282072012,-1.1380538136874492,-38.02464230162872,0.3137002042884192
