date,excess_log_return,RF,log_Mkt-RF,rev2,rev3,mom1m,cashdebt,ep,grnoa,ibq_adj,invest,pchdepr,pchsale_pchrect,roaq,roeq,rsup,chsaleq,baspread,size,max,gammaps,bm,cash,gma,lev,sp,stdcf,cfp,oa,saleinv,roavol,first_lag_excess_return
2011-05-31,-75.92122199881622,0.0,50.3618286798052,1172.918843165882,997.6890388622364,2137.6320331820243,2879.1360606424546,276.33700435191736,2226.2726525000703,-775.9995614964796,279.9161998777821,1410.8991468846923,77.16066168449814,468.7474737693924,552.6483271912093,755.2902569120647,80.49566864753433,-132.8067571971078,-9.859454659082983,-132.57021140371626,5.713800465692787,37.93121091753165,-67.26860144228885,-152.3952230940422,-230.2088099024113,-197.0746843436409,33.76056350037925,-406.7598258207914,-7068738.205990911,-572326.7476949985,11.562830951764,0.8203982015024156
2011-06-30,-91.2232650118286,0.0,-22.5137169962002,-124.80085628109576,1179.591694588887,216.8351839967994,3196.844368364756,264.2300423144449,1409.978745729327,-1654.5876928395048,285.4898618442076,758.3409469358347,-410.8450910048901,470.7731028545189,506.6326264953309,604.247959215332,606.1141308617118,29.02310166529719,7.525353495595482,-102.67172308063437,4.572033155012198,-498.7701917945488,8.355209750548966,3.229351677159684,-200.3149765343569,-267.64763177027453,-85.82238511989453,-295.69838188787105,1841378.4852068424,-14537.319158065366,23.496398898976054,-75.92122199881622
2011-07-29,-122.8765850130461,0.0,-31.006861742448635,146.53531832869635,-121.6654397665674,-2198.6563489826044,3115.431953326404,254.22539163568047,1416.70127506719,-1874.837014985008,255.78683092034856,774.7852036179365,-434.2721742949654,423.0100883477949,395.9309232288195,563.0313932824631,492.0326870554334,39.94403159466992,-131.55931954782136,-6.662930697179945,-4.903586967359638,-100.54998998406336,-43.487389433687895,-10.56467407013497,-100.538804192729,-46.79812415325159,-83.79336507724292,-0.1119417150109711,-1273049.06730932,-48702.94385932409,-5.607693244913207,-91.2232650118286
2011-08-31,-200.07430941802383,0.0,-41.61299338177659,-928.41320846554,150.11495410651958,-3764.081768260532,2343.707023575042,177.29640500842137,496.3532646605319,-2207.2267277966343,255.3372711293765,-400.1421699846956,-1515.187772731648,279.3997287262455,121.71556542199332,477.40249437207547,1081.434960270181,99.30300477468744,-177.37482784446547,-27.33011860253509,-3.635997451656089,332.9994414556113,-76.1653621559908,62.91058641753489,222.86520007027505,207.67066971474287,-263.3639488158624,110.41631780228828,1059558.2828733325,69112.22879985417,-28.077128792645112,-122.8765850130461
2011-09-30,-231.53721424715536,17.41447219724569,-107.55641322262711,-1234.7504840376323,-922.4252936961996,-6511.052241242344,2051.2522507149943,174.07146513515784,990.2059578048608,-281.4501967660564,209.5018811852312,-83.93580936224356,-1105.559769400686,311.8488103861492,205.1573372087264,361.0539873075787,890.027140705181,36.22127958665578,-236.81977793722035,-267.90993179337283,-2.6074499580669204,656.5584212367867,-165.76328225402904,-36.14824936095511,788.5211883089014,392.42443036543136,-138.8788873147223,11.68591934134406,-520021.139632225,-10067.55084540462,-18.111332291439798,-200.07430941802383
2011-10-31,222.305210360703,0.0,-136.24116036704942,-1665.3140713196055,-1209.7206317707105,-8492.334677828952,2009.0231418720427,163.1155224136884,925.2367227194794,-377.5784727402742,243.55152717321187,-25.45537769270802,-1035.4824938332893,314.7749210833761,500.0739992213679,255.10567020347165,910.3467630095902,-59.86120561186658,-402.8678174061824,-102.9694973817659,-0.8386662044951207,42.992972064352216,-124.22349926248626,-26.757473293730527,173.7933522618623,34.873253769491384,45.36900248520215,60.27791285911576,-3148625.0205225945,-44213.812125465134,-15.776826748775648,-231.53721424715536
2011-11-30,-57.996667168796655,0.0,183.61394700089872,-2508.6784180316645,-1627.8940852346852,-4055.6918488097135,2028.6081334577264,223.08059092012917,-6173.799141128532,177.48737083077654,238.47389414381763,217.43562974486548,247.1811755059649,299.4315506866676,491.6526410817944,179.34184657317155,785.7158879410224,-9.98195595553807,-469.7490944419078,-660.5729499649151,-4.737080838490583,1685.2192405833448,-281.286080872198,-61.61667557987653,1565.5137623428964,759.7891805815425,-148.08961753264975,274.9878940841268,-283674.73479521275,720842.1515366333,-21.40279401030739,222.305210360703
2011-12-30,-36.405785482391416,0.0,-4.834695213252889,-2993.4785314625096,-2568.8635609628086,-3196.063046283795,1790.1651647701715,139.75245228300412,-6500.734998318397,-700.1191709757395,174.99862650858907,396.3918450706034,-18055.83421529208,259.3141206724091,420.8907162659461,56.093948060418334,435.5137177616375,33.33874624297164,442.3783980414519,495.6956738736394,-0.5427670032594549,2256.350562962045,149.9085839618465,-2.7775843174883903,2052.4403866271205,1133.2990674754956,134.36153053677936,260.02343933988584,3427416.817464888,64373.61163927335,16.429070297190947,-57.996667168796655
2012-01-31,193.63451221663263,0.0,12.675500201595826,3104.3925426486894,-2974.186299253005,-1081.2050683367356,1819.8594954436865,118.38662469620564,-6565.496878392388,-427.2728898288058,130.92030604827158,205.05611709762871,-17971.60533898547,263.8072299846359,342.5470830795808,115.87442984665066,746.852858317399,-86.77724442577392,-126.87807892007186,-126.13652370954924,-1.9911286151760952,134.53348216146514,-55.441338926611024,-2.2596131715743013,208.63900379628103,121.49197149606152,-54.39584863191976,-80.92216372230746,-1337751.851417005,-225617.2723212936,-8.377634236325662,-36.405785482391416
2012-02-29,27.969590303183757,0.0,84.16735672696403,-675.4262830509246,3101.4099168549355,4554.84645007478,1986.4332951763795,89.23365686549397,730.2089112968629,-78.69760400442128,65.06096754022367,1378.459513804567,-17724.418690398175,258.10198644630145,335.822819525182,67.85519521425066,728.7601712649387,-79.67330475703557,-133.9795709060636,-318.3258820467986,-1.4980431387458983,-501.5159466699042,-27.920674379673077,-20.83214553484117,-825.327099762384,-363.6627761808068,-260.9664232568548,27.388997487015786,-3049138.889869392,-298025.9121528019,-24.740079710860755,193.63451221663263
