date,excess_log_return,log_Mkt-RF,rev2,rev3,chmom,indmom,log_Mkt-RF_lag2,log_Mkt-RF_lag3,cashpr,chatoia,chinv,lgr,acc,pctacc,ibq_adj,chinvest,roaq,disp,idiovol,mom,max,r_sq,rd_mve,sp,stdacc,ol,noa,cfpq,invest,pchgm_pchsale,rd_sale,first_lag_excess_return
2017-11-30,22.76598124723707,5.671094821498417,-116.85044538571576,-66.26307748214145,133.858276464158,21.1050842979741,5.540425567832576,64.23565899599333,34053.1745449921,57.55006806754412,6.368953363473808,190.1302298604656,-88.3680998386095,-12.98566374467049,89.35579830095712,25.164495907324003,-16.817604245459904,1183.864492414897,0.0737536983441877,88.17763208784777,21.50895844916261,0.128870305312148,6.079509887698695,37.34131372230274,8.507302305917733,97046.14821739936,191461.5236956766,-33.989136371242296,-13.23080323677517,129.27495471170982,20.666740976286064,-0.6410217061660024
2017-12-29,-3.871420206324956,7.828937070408675,221.4583847664585,-115.27038694126342,789.7721223425201,20.10101333718172,85.93633521824925,5.540674872131652,12267.824113147828,36.541306264095965,2.731743127124771,390.879787578465,-124.50581930011172,6.226409374322975,-59.24524690472812,-2.223290857362944,-7.196561910829105,688.6759981408012,-0.0622994301335353,-91.441585228411,9.850120850427402,-28.765755842710178,3.017725169872868,23.107683509529465,-50.60679833204176,77642.24957361538,-10500.611357294025,108.00626887340434,-3.724192431538988,431.7890437149052,-28.32546675004204,22.76598124723707
2018-01-31,-1.4055379740804002,2.7057779670939834,11.560159931740197,226.5622958186341,956.863157568095,-28.580894217515635,78.18190565883613,87.10541083453055,13205.641095902967,36.54517893949812,2.819515336745619,387.8911651738001,-126.00082848670804,6.461930227535913,-65.6980837257229,2.1160801081694736,-7.944987063484453,618.4445387278787,0.9686709071208596,-128.82758237258304,-55.56600115947293,24.40407053295144,0.5839661194690748,17.619160804155285,38.68836534465731,13477.041366129415,26216.328274389263,20.20695597765166,1.9080468508908448,10.162460348440844,8.230616512679262,-3.871420206324956
2018-02-28,-14.100738360371194,13.92544006444392,320.8272693652498,13.028157979840037,355.4824540338642,-29.660417515222672,107.86242835866727,78.10849892443862,13707.66792210379,36.50006980565438,2.784324867009512,448.43689196342905,-127.639244825022,4.7026057447716685,-114.96864160621242,35.402556561097526,-8.546728385354962,630.0778341709088,-0.0211305152497942,-258.4363900432759,-15.325475799468563,-5.294025029561453,-0.2093429064406997,2.3737926463620624,-8.859192882663365,99339.65598876496,-6728.899291217793,4.4549483153651295,0.1963811000134008,-84.67162248176794,-2.5590018260147644,-1.4055379740804002
2018-03-30,4.119619268714692,-9.529488259349476,-42.4998019108029,317.2851944920778,276.30257277793106,-25.33116113411837,36.991493246224046,107.79844576943594,14898.499818491877,31.491210071562648,7.485081126428676,268.81241240959633,-167.57335903187612,17.98504111837558,-313.2307256460611,121.59265089334014,-22.578400431874343,539.5254406888889,0.1693218201709712,498.45086397622026,-6.544644638731086,-43.78190425489902,4.304588636229774,-90.63383933363023,-25.857738619819884,61233.1400851428,91567.47909699568,-143.2134090005709,13.979187657452716,39.64058293496083,9.711927243475143,-14.100738360371194
2018-04-30,1.5194367987141486,-6.068924827635558,8.38400450178513,-40.65564600691429,371.2660326387408,0.0,189.03665038927144,36.71423250776811,22862.024687440506,16.406659343960854,-6.366887807117861,85.62986118215461,-165.64364932695466,9.22355578041226,-125.32788354681384,86.034164558013,0.927800800022398,634.6583308619071,-0.3699755157161277,-257.8693065106376,-13.451204464714465,-38.585199405376216,4.183442473350514,-9.41625933114426,-927.3642567755523,-33156.58552307403,2793.4271996445023,-3.3221588545515743,-17.10603514008453,761.3265385421735,66.06951058342162,4.119619268714692
2018-05-31,22.13037636718232,0.7396428971181307,-165.4957577667816,8.897376801076836,260.647952849204,-14.539337245302264,-129.89619977278153,189.6942974056974,25222.015206715583,27.37338874313973,-19.001979580616965,-21.72377368994746,-144.00994567565726,9.64061397063621,267.28878608808384,38.04536729338543,18.57770398352622,614.9204295348048,0.2131040028181203,348.89573228019015,15.384602873339418,20.48001691501304,-8.591910435894928,31.90730650000205,-0.3800411604195943,36858.88496485958,-17897.63710090611,37.06153426854888,-12.36693047585542,-32.32335076335562,-11.89134211554449,1.5194367987141486
2018-06-29,-7.3824615286557345,6.705136653223729,87.70954565433425,-167.83287339647637,-353.1298728976145,10.396021394976325,-83.5546044082448,-130.65481500178552,19705.160036085912,-23.37382967074471,-9.634609089964323,-23.56125575796168,-75.53296200479843,36.379708760054974,-1476.7888207319634,-72.28508129526053,-11.828862864338618,502.4363536394022,-0.1757887744602015,-223.68591729519267,12.864016649625114,-58.22279776185383,-13.86662415692066,30.141943725780838,2.091477496241492,68588.9593821764,7422.384352546185,-85.00588207934814,12.935405407282731,16749.886917915213,1861.135254854551,22.13037636718232
2018-07-31,11.543633005589202,1.2392660202837116,18.103750094131804,85.55187796200696,-105.4244528295024,12.613981151903683,10.35574378693421,-85.08903978711162,19931.397335042588,-23.549522988651148,-9.414462427787363,-22.905738731166164,-79.76087957660664,37.42847173403872,-1544.2006444046208,-75.363188165721,-13.755582049570364,505.99594887708,0.7300754123827922,-62.912079532973166,65.68657126935204,55.20157075133079,0.3436188804989086,23.443099115221685,1.3770897508355944,13535.825315307826,12372.450545231346,10.88701167310743,2.906970588796675,931.6957662588976,109.7102410682478,-7.3824615286557345
2018-08-31,7.534203114189831,8.112976005722006,318.6725841231322,17.524563804352418,-250.93757985020585,36.78719153294099,93.27573637103131,10.3239506058662,16582.56678487047,-24.10245411281189,0.3946609656097036,36.80401754882432,-92.29115126357632,34.18696354529087,-1622.5850486178713,-66.06639320760397,-11.13005965176285,486.8590813290395,-1.706854510162554,-370.4387978739311,-19.863557169148063,-2.4460820924025484,2.67218894094016,-0.5967615929320118,-0.4747625822440717,-11657.822157285642,58239.209912776016,24.63713652046285,8.562807386303067,-274.87187632329733,-40.68162010885953,11.543633005589202
2018-09-28,-0.2758021876204826,8.771122342236882,-86.77342574057174,324.14748797088083,99.81376712460003,33.550393674069404,17.198794483187566,93.95720460000824,20046.95256859206,28.926534825549503,-3.3421979020435804,287.5350925250742,-61.81084508688585,31.17354413514773,-613.2691681337216,-669.0811570177093,-53.23993483845508,254.2195325635472,-0.2146264240904152,143.98855126371382,-0.1131573187899448,-6.144103297209995,6.358125408740087,-93.04116338802056,0.0419646279310939,32878.215720999055,59726.698548432905,-28.9194397423794,-168.6387559499213,-18203.569350493275,91.1823410889956,7.534203114189831
2018-10-31,-27.84442658015278,0.1556023658574307,164.25829902352723,-87.58910438981998,-185.13361057792952,-2.3120706709937187,113.34717717939202,17.284780382138752,20379.76057852597,36.642803952422526,-3.354043723384017,343.56244826134593,-60.672293601190674,2.0350894224838854,-623.367728873498,-671.6993557664839,-56.75244107964947,388.3404140476804,0.1320798238169018,190.66586330367363,25.35070212591563,-11.696809254004393,0.4605850063475358,6.659148283472177,0.1338126190655053,18374.63146605389,9315.952092498075,-5.343314975546264,-0.9933221130559956,13.972822818495274,69.4426185698112,-0.2758021876204826
2018-11-30,-1.2681287938141337,-20.763589750190068,136.0586860841785,164.40712050736423,8.37525863792925,45.94003585620275,122.11399992407335,113.37672675321906,-22921.393432469584,41.65738161886205,13.674744615847448,276.0870237959711,-87.15094487005493,3.172932241297722,-600.678486854056,-642.5723381658114,-57.14819881488557,399.2464438896068,-0.2196411969878298,608.4375562212778,-24.217960540441595,8.693546059500704,3.999469023497202,14.132202967650642,0.2454063093559924,1383.483835990541,-45131.932840759866,127.99899847375691,22.584590102197296,-32.99687203696095,-2.9709901569185604,-27.84442658015278
2018-12-31,-39.3432708040468,4.326838868732246,4.90610872346042,131.44479058219204,-618.7400602982701,10.529970040398824,2.133945041891016,120.53773894978472,-18596.03225427372,20.178779965876263,14.883878251661276,-152.35373212723272,-41.15432818843276,7.712882994740789,-108.58418812643517,454.7563836530665,-40.90474510378927,593.1722584319831,0.0431214000914437,-330.1052050663764,-18.066445965267636,4.147024788941053,2.712637500227288,-25.24437409505936,-3.759906423051135,-41852.29173411196,63752.41228089295,-13.31305169570726,194.3567740786816,-494.6741629847186,-1223.305994388477,-1.2681287938141337
2019-01-31,24.11190694469181,-25.89283600796668,-367.5173186064219,3.5907550653565785,-445.4099544294011,48.92706801052494,-284.51650993536896,2.132615542025329,-18163.21520576268,20.28524995009473,14.861364791578463,-148.97799658690496,-44.37296109391352,6.557393756727173,-110.42106213362716,449.79785356624126,-38.77634106523792,962.929211859097,-0.1727608048058933,30.80283174148235,-54.27535885848454,7.988596853876061,-0.1889039073743355,-1.9725573916109624,-0.8147462567638044,44.46288242703304,15210.164942990055,4.254859788244119,-1.1570247787651766,10.135360388744118,-18.257652238857418,-39.3432708040468
2019-02-28,17.34341392923608,20.608071144183608,12.517528286753478,-358.88372829641946,-711.5107318545955,38.31691385126745,58.432076212728816,-278.59593314143183,-11439.839754287012,20.17233334918105,15.728371101731073,-121.95666336026582,-47.41712554860415,5.960708946928241,-119.28772725566115,458.4012169595052,-36.57368826305048,1610.4873209796172,-0.4132970326932508,342.8704352927889,-14.993596464719587,106.99945144172102,-0.867965392573872,-8.686341518807694,-0.9278074497902368,-21236.580459239427,-55475.78045124421,10.3823803871706,-1.6396540720172652,123.88380660946424,-43.35392820779703,24.11190694469181
2019-03-29,1.9354020285705005,8.59465048559433,-520.7933125809806,11.725623036409145,-361.45278331651264,-15.447547137252933,-354.8215060162203,59.24864422218184,-15843.893817259896,47.83200364386171,8.19127876542768,221.314650502336,-94.88802456310928,-106.3984762645472,-40.14580435519913,451.9977038165989,-32.860855512432536,829.4032969910787,0.2908733544854982,461.57874258693687,59.56914505656346,-56.58546229327908,16.93675535045538,162.15819591871275,1.0045174244764787,118724.69950040385,528955.9657411044,74.07337143333879,-14.220977477420888,-86.22312725553319,48.151381211058606,17.34341392923608
2019-04-30,13.84857693545879,2.827010618016207,346.47854515658247,-529.5456847579619,-636.2895831627991,15.339978299781752,288.41965808468285,-358.5305400904348,32817.73439807365,97.1851819570906,8.37716975107334,128.95675500277892,-34.71421434167837,-105.08506477709992,187.95390660566656,122.52487656496498,4.987136460421942,739.3801464906996,0.351301051074941,-464.8325076605472,56.77690299166864,-49.00501224797381,24.959583984424743,130.30950387269093,-2.1791802043164488,16171.48618457513,124364.55823312374,21.769130788633788,16.996101889164592,-866.3387163166861,-810.5652399189261,1.9354020285705005
