date,excess_log_return,rev3,rev4,mom,mom1m,indmom,cashdebt,lgr,pchquick,agr,grnoa,chinvest,pchdepr,pchgm_pchsale,roaq,roeq,chsaleq,sfe,idiovol,log_Mkt-RF^2,size,max,log_Mkt-RF_lag1,bm,depr,acc,oa,currat,operprof,saleinv,rd_sale,first_lag_excess_return
2019-04-30,6.997964125797307,-1156.8211582618376,560.0723716085022,1695.4868506621408,-751.6650322146143,66.20050903521211,79.34293224733766,-311.16382894473253,1758.3587528899868,11.68866662060476,-315.67415013370214,-4703.010554205495,-32.96243662821823,48.85381214876769,33.96245756586398,221.02618931433852,33.416887426284404,-198.60623663297403,0.3646765463741772,-0.3911986735419339,4.514199629090399,14.062705436433705,-267.91105955580485,-131.01224605119114,-17.207349332141973,1.297017202274105,183163.89976993948,1123.2521022166984,34.60848627010097,-3066475.7834717035,2013.0892874090928,-24.037280399366477
2019-05-31,-28.04783429190266,656.4829961080335,-1149.0382499733869,1759.9679518111857,499.49779176320953,-17.43613305433842,58.25736468991368,402.448026571135,1594.7375042240308,328.3587049341002,47.5092184711129,-4452.990451297468,-397.3424925713618,-18.394732499469782,46.09743085274986,244.6880838262188,46.77191118603307,-208.30699974242572,0.1911206647089471,0.5418010723917538,-39.88803163881494,-8.716097170003309,-128.04336179901156,141.66110068304192,-29.371806610711477,270.88742574864,1277981.476919867,-465.3772362267755,38.0123294453968,39149051.59397006,5681.044852970284,6.997964125797307
2019-06-28,29.154207804242898,84.95188313890792,649.8411509829817,188.3031570402129,-498.4195602744536,-43.34315191342679,-70.96964858305826,3885.658415522989,-479.94810245125575,1314.200893597685,3382.3958229441614,42210.46631914415,-1543.4003922578504,-54.45861158211185,39.71579603444289,134.99823696709703,-59.262068626263215,-187.35743001698452,-0.3545902587805969,1.4350328264822083,17.44487535562712,15.147369614409058,157.74461049723016,204.7665772307016,-106.91141078458791,110.63050291666124,1722114.8245835677,-452.5189252870241,61.70430262919507,-19216657.50013399,31426.91159066846,-28.04783429190266
2019-07-31,16.835385855091527,-318.3933678369856,83.35586901860414,973.2872337736776,-137.74677049121067,81.85551464229106,-75.81830953392549,3840.583579615698,-539.1050665012929,1317.6668518099164,3405.851390698612,42427.50784464211,-1560.558873273248,-59.00118598763251,40.645721861786406,131.04681700633907,-63.40804665926663,-160.6592566494474,0.13258920087668,-0.275419531720795,-51.83898822252195,-64.23350530246069,-621.8532006088386,-421.2446327471025,-36.90932496918248,3.2583681079134337,-320213.67818534374,-127.21742052407173,7.3998406272729085,3800237.476287961,-1024.82927746349,29.154207804242898
2019-08-30,-21.1159304253246,91.50539453264852,-318.46756067103,1130.1264638142752,440.20984348357615,21.647275519763504,-80.03969870364573,3183.6626212038022,-93.60337198357412,1065.2394165015285,3058.6125036115427,42608.16798149277,-922.6577076923744,-28.063907687572545,33.471053196519655,130.04121585617708,50.97882876173151,-165.44557926822603,0.0402606555877937,-1.6935684750979028,55.87914625823396,47.31449132332728,781.3510951471247,4.513787787816455,9.1150544042639,-55.15290257865765,756439.9005744308,278.95296697017693,-15.574848982234188,30329881.454933763,6977.486508713482,16.835385855091527
2019-09-30,-3.655947319311956,-348.49089882678453,92.92422753921907,491.6668738372914,49.80558638614161,-4.834267365619867,-57.86906514210177,61.92053804850816,471.773986710254,10.657988425968334,-61.848020620712205,-19193.312520895277,535.133570181338,-64.40558213458186,25.40021055250359,60.94879785320338,207.321674307755,-162.8650202598098,-1.2688589103357018,0.2135772012205466,34.2055015226797,20.207018528675235,-311.5736565451855,214.8037100049908,31.40396614887203,-33.10705231122088,-1352553.0216458067,-479.267852695848,21.414310782488258,595294.1276807785,25657.450119345915,-21.1159304253246
2019-10-31,-0.5782042938629341,457.7432727792777,-343.37015773061546,826.6551712216728,389.8258948532069,14.174304727627687,-55.39649093170214,55.96611082259407,411.7168178162509,-0.857364060377845,-42.95887405498459,-18515.03138035225,475.1638443398752,-69.65001068885009,22.890391195439136,64.85715160240854,200.7339049277373,-172.43972319483672,0.3756592000570933,-0.1891118965028999,8.374483722446712,-35.57604062814505,-216.20023110953355,-97.93255475955334,3.908754724295761,-0.7139070016607008,-306353.36570922285,-145.48440399178617,-17.739743912221456,-11915088.21436906,-7860.412032805121,-3.655947319311956
2019-11-29,37.60750435478702,253.701027510137,455.52761757483535,383.6684384618172,-43.24957143088949,-83.91612545225651,-57.087819114380125,109.36618843355782,241.2867511971556,25.252885242009768,-42.02543937167432,-18388.157839591597,244.0726858656744,-52.97837489255106,23.67699032386483,44.75727440065416,164.7741879107533,-172.787383175493,-0.2375083297295788,0.0841176819134907,-6.445775164732368,4.900889922614624,229.71027910180905,281.81514372616743,-2.910489408168303,-75.52179693838374,190738.8846135512,-41.56203581169939,-13.7068077921665,32661175.525803804,-2983.242483065173,-0.5782042938629341
2019-12-31,4.0757439916929,-284.4407007914441,252.3961586442755,1314.0339198582103,254.8308093621717,42.59694119639373,-955.2868783579224,114.12025181039267,87.27459686237754,114.10190597616226,22.9330757608302,-14994.473699822862,-243.2618808246055,33.29248967491772,-129.13130904917065,258.2622247455321,116.22993074127606,-284.0492899653592,-0.1636598077153976,0.4028801608506152,-5.810167425437612,8.774926778899385,35.15182311636583,77.36363015409484,-13.83459202898348,-125.14995035706204,330412.4859557077,725.0247269290758,-18.72284189252639,12807305.333970428,-26249.297793299866,37.60750435478702
2020-01-31,0.6566752270591661,-31.602264101594702,-293.11331914803105,1561.8884763828232,648.9240963069606,25.210141804988865,-992.2991676689084,109.4126127499678,83.3498668903613,115.75495841757694,26.859455405621585,-15533.817118724097,-234.85728927887044,39.006632019358406,-129.5757073357074,249.1446887283358,102.87111476784968,-368.17171279231343,1.082706551950757,-0.2712595214529624,70.33148142088703,1.0557710134391982,102.68981273997032,-29.06536724308728,4.032716888297159,-3.347122810146004,455945.87233724445,169.07415628122908,56.097943051842265,9434088.661718726,6576.274378541042,4.0757439916929
