date,excess_log_return,log_Mkt-RF,baspread,log_Mkt-RF^2,rev2,rev3,mom1m,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,chatoia,lgr,agr,chtx,pchdepr,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,roaq,roeq,chsaleq,sue,RF,size,aeavol,stdacc,salerec,tang,chnanalyst,first_lag_excess_return
2017-09-29,18.626844600386683,0.2581247238203588,144.31853916833188,0.0004121942602345,168.58074190844366,-222.4093121468184,-118.1994460895652,28.873788433406663,40.908035025630056,17.156946807888268,23.283640493189846,104.5277799221407,161.8481878240509,105.01877945761709,3449.964404235083,105.13926729639248,380.8188006952356,200.11949150770204,277.7015613244967,358.0107346915281,15.849586268253358,56.12401720899457,334.9654889357186,-0.3563741480320168,3.239561641255573,1.6780643160373074,1077.4713585108443,1.19366172554151,365.4531935731984,1.955604997449996,-160.3684987751941,-5.686143912523305
2017-10-31,6.375972826424944,3.9886622173969184,159.93546366863478,0.0987901756660937,3.2150538964052813,168.56943771289474,357.7510225515373,-8.08678503102182,3.507573493674794,40.66678490389344,17.055765817321536,131.9000284340293,186.61580756278423,119.7490986366504,2824.113452325899,80.5537444634374,369.17344852957314,259.3129554562714,309.46129409559325,355.3026640768381,19.200215221942248,62.47666440266646,393.8541747036159,-0.1162166978345629,-0.0540486980769117,-13.030531978124143,-226.41496487842323,-1.6518997220943952,28.921267542969872,-3.3561752385925274,-67.45084205161595,18.626844600386683
2017-11-30,12.482081412027147,3.611778755313377,169.5316127954271,0.0802913492468003,-62.41120530806147,3.3659368073238576,274.9829377830349,68.86291145756655,55.32655550192174,3.567134379800706,41.35733344097629,108.67801001908136,83.69426894407864,70.16500900366586,3234.4853454124286,4.94156146494236,330.21853123560754,125.8946247760138,194.59469286413076,391.5177000792545,22.168392739918684,65.34385253670219,262.9832319339117,-0.1018084167623198,0.1284779248236489,37.29828084699693,378.672284761818,0.5534774258522006,74.33043047859292,21.208635414463856,1303.510453923587,6.375972826424944
2017-12-29,7.593495918139935,5.005161962016152,147.55667388866627,0.1536518006501602,254.8923788859158,-64.03826055935929,440.24478235347016,0.8665680551539723,49.960745056418006,55.66315104582882,3.588836101982144,37.53399883576243,47.49924272811807,39.0674146346477,-714.5059747287646,-1.1916036541509565,242.59061473075224,205.0605635556125,436.15140813300434,651.2761114762835,10.414078538589123,44.36827777635837,374.3817861349212,0.1339056377163387,-1.5789778598478534,13.590075323521887,-1303.2728815959836,0.9807426778249848,-105.51580448218192,5.590275441527865,-78.33364835447742,12.482081412027147
2018-01-31,-0.3453974198548978,1.7280949512216366,153.8923211170423,0.0182044047891588,84.40559842254186,257.77861043554907,604.2999377941155,-21.55258632096428,69.77698122954256,50.52895012891065,56.29620975501036,37.48948626823916,48.02344642955899,39.2030113683502,-746.6154278983631,-1.917878819208397,244.16280162208307,221.84283181282692,456.12990834712537,672.0283188663605,10.140061479265649,44.01767271978978,393.3274198263512,0.1318797468680185,1.7205708892551002,25.55980225443318,35.15117505215676,1.2081725053313903,36.310271234422544,10.34433425106772,-879.2065757224675,7.593495918139935
2018-02-28,-21.414209142592732,8.936063441398444,151.11510448044254,0.4846929302838359,174.53559660138097,86.34285407750508,372.2025763979459,-19.853943512346945,24.11025701454836,70.26070064190378,50.87923518901066,37.4440967935703,48.94988776564081,39.82051099221547,-767.9885760413744,-7.091522921786186,243.84682129903456,256.05200700334325,494.56324880468566,708.7013359923849,9.972311815579046,43.93816042557896,430.1380809410495,0.1208185229615216,3.358611251640408,15.75701679247959,11.604403172441836,2.350683794405711,14.218668041562523,3.272345239197648,-1122.903010196665,-0.3453974198548978
2018-03-30,-3.653697896125199,-6.115384864914313,187.2169755365341,0.2271362263531669,97.65429858655496,175.15715106358505,3.2188232920703115,-30.58771587028605,124.12469457181528,24.10719237291332,70.25176984251976,-33.14382042332226,-69.66969490524994,17.79438255688357,-930.1427632708952,-3.2699299582349184,164.410556519276,136.69496082613998,92.12769332423456,87199.95707356253,34.59820992361695,128.14932359864974,96.66909538444028,0.0901504057804324,-0.011038850893577,-0.2909181485556473,1259.1111955879387,-0.3846277242069753,-129.71534188592204,85.07760901476593,2521.544584696477,-21.414209142592732
2018-04-30,-1.1423375035646486,-3.874710781009952,153.89486716615562,0.0920336976767881,16.212628301579947,94.76832116073292,-207.3861530742724,0.0,-83.49460841530126,121.9315969844346,23.68125436264116,-63.881442029911454,-87.1131266056436,9.828774600433103,-4914.463777621176,-43.22086956872195,-128.47071159696716,111.18103260144476,62.44373706828212,83551.4800251404,37.4444007097982,129.49730416733007,43.818465848546,-0.031603989597006,1.464027273863472,-40.43314426421466,-199.3092384309807,-0.9050437199242652,-47.97475099418944,-14.079393364179396,-356.6041317637104,-3.653697896125199
2018-05-31,9.339317024005425,0.4707014076649201,153.01458713652977,0.001360694882307,-276.8927555294605,16.429691542112284,-314.0708818320492,-45.63338307420533,-53.23327761406448,-83.24118207324045,121.56150508039572,-57.02550879232104,-22.33220243606268,38.32674442424912,-2802.052954877643,-19.7761328543122,-268.7984151727348,100.68927324865489,11.875476066160314,-34.41838500397027,15.457354041395584,49.29839157127955,58.33721707592543,-0.0108444522242832,3.220476378725412,-6.823216364436576,-1173.565971752947,-0.9048193331210967,-58.14153933154466,-8.78918736121932,372.0434262256341,-1.1423375035646486
2018-06-29,0.7441056332051579,4.251470239013644,166.96948092268008,0.1110394151911472,-38.94639794989388,-277.32134304094814,-214.29854274794883,-20.55667156070425,6.473296439302377,-53.18850964355817,-83.17117814053162,-116.02176205862172,-50.12166903817104,4.828916704512896,-1514.0178861333138,72.42134146804403,293.34741530617816,-529.9824394885159,-394.9381208038547,2550.2187187920213,0.7171732548481804,11.414014387674449,54.07540796457718,-0.1040165233682467,-0.0067765692088883,-1.88477636282596,1517.929565388945,0.251636120789442,-900.2751624781808,0.3636801017901234,-2198.5674248841506,9.339317024005425
