date,excess_log_return,illiq,log_Mkt-RF,log_Mkt-RF^2,mom,mom1m,rd_mve,chatoia,agr,pctacc,chatq,chinvest,egr,operprof,pchsale_pchinvt,pchsaleinv,chsaleq,sue,sfe,chnanalyst,turn,beta,aeavol,gma,ol,noa,cfpq,saleinv,roavol,rsup,disp,first_lag_excess_return
2012-07-31,-7.944397374792217,0.030918740328098,2.5722618992771555,0.0981638446556344,577.5517032509613,-171.370872993656,8.930700675384761,4.609353966154257,62.22775642069093,31.205197280453667,62.22775642069093,0.2706037647005543,13.239211398965772,11.073770415506951,36.67670373135152,39.80716437997262,-17.710990184045833,0.1194492045832536,9.103038309614613,665.381138826368,-1365.2537676561014,-6.662923149491135,17.413946828398252,0.1960113804674819,-18181.405470421887,-12219.592557131546,-2.0249952820422195,-62793.377017824445,0.228952528418743,-0.2389174135151766,42.42317265930933,-3.003829450597649
2012-08-31,1.9817943728376968,0.0173237514975183,0.5281896433292048,0.0041563023194154,558.7949708064143,-271.21391615501847,15.762767078979984,6.322901429413488,30.720479884547075,30.56483009760903,30.720479884547085,2.3914195610877083,14.655532017971614,17.15935055279605,86.81550680345713,79.08323467738819,-9.54379471058486,0.1172060535046743,6.166896555844232,-149.6207205011624,2107.2080807180337,-0.77141502640184,155.0386766331228,-0.224276299712713,-2514.271324160276,-12151.447856805287,1.8904814324663448,-92239.10369425826,0.7772628653496518,0.7297997221603545,9.014459864790808,-7.944397374792217
2012-09-28,-5.086056509141855,0.0291209927319421,1.6809341500971595,0.0423222359205981,407.11015668669233,-114.11725324425946,19.665764366665243,14.022771961356373,-19.065768373034494,30.7859488938463,-19.065768373034448,-23.184103368343425,-5.266795945101158,17.67624745842,64.86616113897662,104.28688781881084,56.91823363887548,0.0824880199167325,5.464616313108753,-104.66092570051784,-2229.482677685868,-0.5736897820775155,-391.08533697940857,1.6448919017938763,-24377.25631951762,-29750.70519715233,16.41420287804621,-219749.36501519103,-0.283705623249018,-10.53528975016186,51.73327605477834,1.9817943728376968
2012-10-31,4.823974748960369,0.0234832621681208,1.8003081318076457,0.0484847086940349,177.2510580167287,-182.00234875026425,18.21349812097982,12.874475306098134,-9.186886411754145,12.308295128565565,-9.186886411754106,-21.53749796474233,-2.287361611028764,14.717872757963256,6.367244759076287,0.0826826420408117,49.20670974241763,-0.0291950733500073,5.433181366165033,225.4327387934284,424.7269116748164,0.2927933763399082,-244.93825428305763,0.9068175996438654,4761.432226348668,9826.896447611274,6.4533705154100005,50834.56334421039,0.594049967178238,0.867590950504145,-82.55921712297919,-5.086056509141855
2012-11-30,3.2153893958145003,0.0798617165579851,-1.1787345124212716,0.0209283549316803,148.77454395172185,-64.1683140283844,26.50353056593572,12.411171589980103,12.242381283002128,12.115418672250144,12.242381283002144,-17.297519508052645,-1.2769971993682594,14.295385173403243,-1.957685101566612,-7.225636483205374,47.74467835492437,-0.0281416650712037,3.106417597638894,885.9282308468313,1830.4745746963413,1.2139974324240017,-282.27550505254777,-2.467797617154403,58730.12333546055,-1312.2577518970938,0.3822906095238814,-40584.599071899895,0.3440382006499227,0.2283147264796254,-0.2973195876294312,4.823974748960369
2012-12-31,3.797386563323766,0.0487732524713468,0.5179556351341801,0.0040239757713681,103.21779816106148,103.04474949107694,31.73327587683581,-17.67643592126418,46.48153332962545,-6.741926758513842,46.48153332962546,-14.44024529127805,43.11267431173318,5.192590137203884,-89.45337068090217,-59.64836118384692,-56.90247499231677,0.0255652299676742,5.70898054919655,-92.29556630018128,-2476.3768414222563,-3.9694157358079702,522.9927928628156,-8.991229278419645,37212.68369559676,3713.544776066905,21.007065128649867,26599.800220738165,0.2262190046169578,-6.286774892212799,146.45926620217404,3.2153893958145003
2013-01-31,11.771000740827136,0.1181194799577924,0.7844458852225678,0.0092013554977726,-59.86400777294517,111.78453264343848,32.019071092546305,-17.670123027497638,46.21914043626477,-6.769414229634905,46.21914043626479,-14.455989750228143,42.62439067042721,5.494117039775508,-89.13541458378208,-59.15361081689921,-56.7152640989937,0.025901998891104,6.087659362357629,-1089.9414014830577,-119.09297546613834,-4.132387602551027,0.9344863121556272,0.2857676934529749,5674.443049247609,14765.210476348877,0.6438148845503804,47218.09200807614,0.048182864041621,-0.094964241719349,-8.14815332759514,3.797386563323766
2013-02-28,-1.2399713316259602,0.1164587845639186,3.642401600006665,0.1974329330656617,-59.9590851229857,363.26790031488025,28.14305837658884,-16.313110505778866,35.35234972551794,-6.644133614386214,35.352349725518,-18.924264356722805,44.18748597775917,5.890137369145056,-67.48119580948489,-39.22743857664203,-51.165689658326166,0.026985344656152,6.215998905216426,-1791.2974859181409,3068.8117117750603,-1.1835629686857274,328.8885247481477,0.0844942599946705,37066.61650211981,20673.742758039385,-2.3391358182302757,1865.4569418542087,0.5029686192916678,-3.2661783245458764,736.0325493533142,11.771000740827136
2013-03-29,4.957889785461739,0.0777558592167655,0.871149768648077,0.0111659653921467,-156.52097488959714,295.03501676271503,32.88529849859927,4.853000923846479,20.692140328844715,-39.98472009274513,20.692140328844754,0.2069624004551418,-4.17542483216787,11.285957193614497,-3.1179568471102,15.827828002931682,13.313645129851436,0.0001507640806177,3.9966873634175575,-517.2719386020642,-1771.3883820391106,9.316210683816555,-128.85841872804588,-0.2824430099476274,68341.9620128707,17728.309214767767,19.053577019848703,60473.77939325012,0.703118480425843,8.871044457091136,-660.295771162198,-1.2399713316259602
2013-04-30,4.13097281073938,0.0438847626316154,2.677690160148547,0.1057932169237107,-152.19764240981596,316.1644569058898,33.1580083789632,4.936000415799001,21.44881157740361,-40.05190451998136,21.44881157740365,0.3016837392214011,-3.1128091673714984,12.171705737540908,-2.7887190553867427,16.112261404198975,13.924115928315269,0.0002264566616122,3.8970572877359793,-1503.5842030262515,-625.9459733382696,4.083547504660594,-3.4459680583901218,0.1842217135402677,11566.782713348046,3011.7748528628144,0.3699848693645577,13211.875427742489,-0.1011300404443495,0.0761307415545538,-275.4817911498035,4.957889785461739
2013-05-31,5.338452008736375,0.0829694868098522,1.0477888321987456,0.0161161469426379,-213.00248155517787,336.5880541904749,19.10469988267717,7.036909374448854,36.692828682924926,-40.01885510023184,36.69282868292494,-0.5729901683970571,10.63453176860302,16.16711086786047,9.288059177218642,28.20740454911125,24.179742457433463,-0.0012821973394975,3.747650758966446,700.7707206217738,30.91373764305968,2.1264375112682146,-110.5320043398483,1.117402434916606,3599.658905397053,15714.893455832498,-0.5169268095551445,69318.56668741954,0.4807834747651718,0.1531919901330027,44.23631488232155,4.13097281073938
2013-06-28,-6.528283319081379,0.0688459272713328,1.8883096250874367,0.0521459857067597,-271.5059945783738,203.66394365664564,7.285956468192221,6.737697043325658,1.4601914244358978,24.194262685145414,1.4601914244358625,-0.4251258540909797,9.742734325333997,16.544670906426628,-46.36813537074179,6.57291133249398,33.14920738595711,0.0397797037112574,7.801888254023982,-1338.1994128887402,48.625129509383214,4.695804511665045,-179.18681696026374,4.26059895378495,-739027.925050444,-92627.87074133324,-71.73052184080711,34451.57039798517,-0.9328027247173624,-2.353751610102519,-96.41010520118982,5.338452008736375
2013-07-31,5.978074405789471,0.1160543820609819,-0.831508238073474,0.010038450751104,-32.31789972753353,118.5192139175211,7.4888030192206845,7.042417912169832,0.7991091510679464,25.916569500045203,0.7991091510679109,-0.1456051057142886,9.11786267728143,16.177272410496098,-45.12312381986752,8.69433306594374,35.33597414384133,0.0430186711717895,7.535079639709763,184.50137403611183,-275.3764379105014,-6.265639297540446,9.158137561936314,0.7073892869223641,-375.3213382283866,3284.714916193974,-0.7595789831078088,38428.40065156482,0.3288277800056782,0.0052542484635695,-1.0382896209171406,-6.528283319081379
2013-08-30,-1.8366721266974264,0.0567929428116201,3.755576841134478,0.2064123546552821,8.440985188116457,124.88535974655598,11.520558225065772,4.42854592665439,-16.40991583041177,25.82875908511298,-16.409915830411805,2.3410192630007254,70.85046044917772,24.18769884883456,-49.78782441313802,-1.374014278694858,16.807690631381647,0.039769582173634,7.120188301182026,-640.9906013400384,-362.3631341901046,2.937928067469315,118.6851091177192,1.0107444308828306,-1613.8548875516865,-32049.572078319383,6.03233967232624,-132308.50697119115,-0.9299655095354602,0.0284819350200082,21.44574953116839,5.978074405789471
2013-09-30,4.858337464231656,0.055990853062264,-1.89047601317809,0.0519388945065328,33.5063562339694,40.90003363441687,11.710358730501206,29.764551921782548,3.453153204153166,25.712859543211344,3.4531532041531143,32.59713601417246,62.13805833466494,28.07122936035768,196.47288884599223,279.8625483603712,149.78159758794126,0.047011575458146,5.922949337659366,1021.393172032907,298.6728075179067,4.105444810493296,89.54755628966029,8.476057254756412,35351.72088601059,73447.81425546657,7.134815485057147,3882.7821014700457,0.4095826338820529,10.244188946405608,63.20296603390034,-1.8366721266974264
2013-10-31,-0.2740470614681773,0.029268522416101,2.544916470814927,0.0941790255844098,96.89140763740946,49.98706965685584,13.072076060703155,26.092712297864797,2.585261551154117,28.23116476209246,2.5852615511540744,33.15413549331759,58.66704770715173,23.92317696190146,141.5398993854183,221.65847794033888,121.0369424518104,-0.189685495333065,9.894841648881696,880.4031580741805,-232.66240232221992,5.814330305859812,-23.044592578758625,-0.0651884802506401,-1303.96827628772,-13180.05454255105,-6.826195803150603,-85860.11753484374,0.1260258263266074,-0.0233696994576533,-139.37273835493616,4.858337464231656
2013-11-29,5.762688119226971,0.0442919644430798,2.830336873718175,0.115902256285092,22.700714531481907,137.78757048391373,17.169945279012502,-4.474773371545339,42.64161044818229,26.74311772323401,42.64161044818234,67.2999553254548,-0.2194058096030797,14.804684311490758,-137.79691920694682,-108.06271149281103,32.84758011020873,-0.183540709904898,5.619791866144258,-285.73332513910293,497.1795031201392,1.8508432166351556,644.7338052376911,-9.032190120079036,-1243.3420239704428,23214.738482712302,6.30774598078019,-98719.54198881052,-0.3867426065927262,-2.0855271555258064,210.24194400312203,-0.2740470614681773
2013-12-31,2.0946303955927723,0.0207836304262208,2.1279298321177933,0.0655831003151571,-86.3801812082433,146.26937942447262,13.700824859803664,-15.037962976026815,69.13705281628933,-6.235651120913828,69.13705281628937,34.1686027831739,68.70191002009338,9.47888466586259,-153.31068081738965,-116.43094646383123,-46.96166432026856,-0.1119309422210526,3.063520520793511,952.842127536275,-596.7910133848644,-0.9046543402621126,257.4907808428193,-2.538170119268294,-12686.67296070652,10486.553156661568,18.51965827859332,-46329.00605387427,0.7739355779928658,2.9003401449593724,173.48593243433834,5.762688119226971
2014-01-31,9.734276588195655,0.0272564565228629,1.924952195723354,0.0533451194675002,-91.39755326115856,196.58175784894885,13.881261126448557,-15.512811870521237,69.9213914746137,-6.304146112651736,69.92139147461374,35.41087383401315,68.98593260140125,9.9855165367955,-157.45347782779874,-119.45873245211,-48.21715713717616,-0.1119182341600683,3.704604782988096,633.6069257270522,-59.91057372543969,2.9127798843704227,24.938723118857524,0.9128573625619368,1132.181598855299,7161.355328527046,0.2744320425502202,33543.35867857747,0.2210893195297991,0.100786215221083,-331.03085178257663,2.0946303955927723
2014-02-28,3.781441042193926,0.0161234772844496,-2.348584100497743,0.079296724951968,-73.82790355795805,246.6569979293604,14.46907984274416,-14.185831135283005,72.92930370075402,-6.321281136962775,72.92930370075408,37.48925517639901,73.91234180561237,15.053791123317168,-129.28107469385992,-95.1743840581837,-40.56960450024755,-0.1110232225074369,4.244038093014986,1301.7431518530395,1467.1794563375488,2.887849079788964,-306.3053097971663,1.1049949501280238,1014548.5179695216,192361.6377375496,0.5071278451625645,8551.287713597994,-0.8115719834629758,-0.1012772143634084,-20.11512724075368,9.734276588195655
2014-03-31,8.270324570513527,0.0134722122866995,3.1990595668282675,0.1454012974172027,-48.35346941852214,306.4021148538566,18.964620183860937,3.084267892689212,-7.496757515425466,6.731102683320142,-7.4967575154254735,-18.70335128140469,-11.11063792085979,16.096489067593126,-73.50511760996962,-16.200710885812434,47.21835367348905,-0.014405448040996,1.6214107020921662,-1078.8957142323852,-409.4255026338194,-8.701770637474922,-706.1899978194239,0.5430096746415103,27291.005315880524,-63610.49908019276,9.741805380421468,626312.580984463,-0.7433196390112737,-3.313081050697365,131.12548552847142,3.781441042193926
2014-04-30,-5.87751085989216,0.0072866121574558,0.3033722654378826,0.0013017040790214,-64.16301177981413,282.36690180905674,19.306409513990296,3.155678264109848,-7.93520876565135,7.017278615927016,-7.93520876565135,-18.502539316152,-11.441244924447323,16.214122934078485,-73.30514970859956,-15.028563642103954,48.3914181312984,-0.0143373965150358,2.177932722105058,-174.22362591386653,2804.9144572285386,-0.2191021533982393,5.501668073158953,0.3130075244772712,11205.849730028303,10361.2298176107,0.1692564830490823,64351.24304509116,0.1495277193335233,0.0866743800563316,-58.84284992322566,8.270324570513527
