date,excess_log_return,illiq,log_Mkt-RF,rev1,rev2,rev3,rev4,chmom,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,log_Mkt-RF_lag4,lgr,pchquick,agr,grnoa,pctacc,chatq,chcshoq,ibq_adj,chtx,invest,chinvest,egr,operprof,pchcurrat,pchdepr,pchgm_pchsale,pchsale_pchrect,roeq,turn,RF,baspread,beta,idiovol,log_Mkt-RF^2,coskew,size,mom,mom1m,max,r_sq,gammaps,aeavol,bm,cash,rd_mve,cashdebt,cashpr,chatoia,chinv,depr,ep,gma,lev,quick,sp,acc,stdacc,stdcf,cfp,chcapx,oa,ol,noa,cfpq,currat,dy,pchsale_pchinvt,pchsale_pchxsga,saleinv,pchsaleinv,rd_sale,roaq,roavol,rsup,salecash,salerec,chsaleq,tang,O-score,sue,chfeps,sfe,chnanalyst,disp
2018-07-31,0.2009620931632783,0.5685091929744973,1.061731270970817,128.73029901167968,-144.21236375219726,-55.52170366973872,-196.32595125826666,-1190.3945858590291,-13.195954679846952,80.99226536829455,8.964390737087413,-73.65684356324367,-115.17762949783581,196.28568573217473,72.1191646104305,144.0230413842444,227.31712780318765,-2.377648971347176,144.02304138424446,-9.769236192695129,64.26239257662108,-52860.713281749275,35.94162359488743,-21.77511747272309,22.760477786584595,424.9122331741809,81.97803235009097,-7.945255945502701,-30.21625671688224,-72.49438942811844,200.56630210849983,229.33773254212906,0.09779865781376884,-3.1106630013627523,12.342513076306034,0.013803614839829947,-0.14593775288627667,-130.25214144695974,18.735715308656836,-253.82738426681112,279.2069714380666,27.094852355595094,17.51538167307592,0.21489902075529166,464.3653945790102,116.44521623529158,-2.557989195103005,1.13190566468423,43.00855848613415,5659.261871732073,22.78888829441277,6.477786210756644,-1.4618578284815413,16.775044766841532,3.1852076303378567,92.34745706452486,39.58799812248435,59.50365903454656,61.55034959751307,0.025442850606505862,1.7171818450402725,-59.72657639324986,-1162.4004255144728,10311.364601630718,-21865.862834721804,32177.227436352056,-59.72657639324986,61.969789979173584,-2.319418175637985,3.580687184779748,4.617327824042,-107.7034484298365,11.218511172319495,3.6025464095407322,13.573960986909796,0.5155358594322905,3.1698969627128335,-4571.837942106671,124.62760356516083,25.83879826375096,3.025135025802456,-390.37319541927536,0.8063317837309905,179.46686705232648,21.956379826028098,-1405.4672062010168,-39.951943730335415
2018-08-31,9.478351724491354,0.8812546792072578,6.971694918116877,83.10706960923112,128.33404148200276,-144.63268955559968,-55.62879956204198,-682.9385446542537,42.61271111504369,14.866354531798295,81.21505933255119,8.989050031902531,-73.8594592092867,-6.85137524853039,98.73993563052103,27.069789308220045,152.58456467637097,-4.657013079387075,27.069789308219978,-17.77127554486043,36.70681803145208,-1355.8474764195416,33.83516807830233,-18.341814564119787,-239.57728694383442,432.3284912617536,152.85961495854707,-45.126691762289674,-44.641622114365255,74.1730255501503,172.08733058360923,813.6823132203938,4.488825506706441,-12.161713555273025,-10.497257972953207,-0.23204786309941738,0.2134943179391002,-90.07360128117239,8.53032147943486,-279.79467000772917,61.91489312026546,-35.91387453259506,7.835264687266999,-0.5442639205796529,29.29949456367467,-18.064602550815835,-1.4414424884460573,2.753823058133884,4.979246765944708,15027.374667120355,-1.6975535189786495,-4.48885617740719,1.320970090306858,-0.5846151566304059,-2.292704686196714,6.465701406660173,342.2656361562749,23.080167484568733,-37.965532104508505,-0.009675583837425394,0.15384566432523172,28.70576659619323,98.97170382223919,22999.90013696812,-10696.782204225892,33696.68234119518,28.70576659619323,529.157976607843,7.701193373936729,100.20977968917487,70.98919261380202,-77.93704721525137,93.66779576299615,8.911315132727339,-8.129457545233791,0.13180551798360085,24.926514411821863,36676.62504034343,8.073013260456719,57.23139236974154,-11.685753104631658,-232.65200756346712,0.01853733719212647,-73.97376748049493,-1.6053324022134206,-351.88030106663876,160.87260262112454
2018-09-28,-4.955742536464852,0.6277503619734757,7.511302380076925,8.069649015618516,82.20431478980943,130.33860862466219,-144.24605231086895,-620.0645272590023,1.3103674858959065,97.53673910628619,14.873781214453036,81.25563138208483,8.993540629904333,-2.0890235027397104,92.47413023264059,19.390320211767055,177.71373705679042,-6.620034004709961,19.390320211766948,-16.63969193290877,22.19166458184566,-1540.1627988816174,34.43433334452226,-23.55653934383224,-268.12162440115304,415.67243142448365,169.6533505861891,28.1213929397087,-14.194292573256666,37.376587961880915,162.1179433221665,-1127.185450766389,0.011088673456342235,38.5507347874065,-3.0979714023652605,0.04580639772089867,0.03506492235222308,119.9135794396833,1.553420115110839,-27.620452759668723,295.10620719229985,7.858663103294987,10.018485682114942,-0.03909849822716027,313.89613950903276,-8.01381916676769,-8.981526187015959,2.053626325143874,-15.464883623194225,1078.8514330261823,11.792296904616983,5.068096979837993,0.23189213389254348,-3.5659956425471435,-10.100172093906451,23.88542344873531,-3.5276414691970785,6.028570909751579,21.52219090020624,0.01684415342349288,-0.6505137500492708,-7.283973669087317,-1403.9420840836608,-42549.198389158584,7637.737567716511,-50186.93595687486,-7.283973669087317,17.34737183722973,-1.230370181694795,-4.171604347262075,0.06409125623221357,-6.711373285188529,-1.3292373228874297,5.743711032620784,-5.1161617854020065,-0.2306951225800944,-11.049390076509312,789.0721303585451,-78.24789732256431,20.601564475000885,-3.276051488805024,83.55832209338405,-0.18754949535340415,-70.05757198176809,1.0803438115555153,426.24506443796577,-346.00895315972303
2018-10-31,-26.311280528308107,0.7319657107508165,0.13332918385569745,149.1271037337649,8.324774080325906,82.10038861185181,131.46197945275603,-900.0541065084072,12.282104768222895,105.65762943804893,98.0978117958529,14.959341512105869,81.72304823505456,25.066271254904162,201.67894382808407,42.56087915147179,189.38380676409568,-7.185316602777285,42.5608791514717,-15.522338668855197,3.508833363519747,-1414.0580730765614,17.360292302441866,-9.830308958158062,-252.94256304609362,461.9691072333462,123.28553480494188,76.54962258768735,20.323005273991328,-166.99898015180813,192.12130847145735,177.91586151510865,-2.1359866818583697,-25.263975578891745,-25.43263526918642,-0.2970878240678374,-0.2535555239430386,72.69749277492826,17.896427464007957,-16.62884596662701,-184.3261741307173,7.722340131880742,28.76879383151322,0.2192129266227132,877.8074728166575,-3.4262074900866537,-23.64956254031938,-1.09513765485044,17.997059339898556,-3114.8000687951862,44.61598773580921,-16.301211929470703,3.090933634500516,19.146544169951184,18.023408372171048,19.6006330679038,-20.202603374918453,90.14039220046038,22.20462394040763,-0.004104871095519158,0.4028299651730265,-13.770607188309839,165.08142758818383,98108.13730780128,27795.864892004523,70312.2724157963,-13.770607188309839,-63.06048711387757,-0.14366920374183678,350.27154110680397,269.59290624297375,162.21748915662465,333.72931251596816,-3.6353469876050575,12.767033925174324,0.14291258877339175,12.080899146363379,11912.319811671288,-44.83128459824184,312.03613320142136,-6.155773300891269,-271.3116478629436,-0.2027839594705212,-84.44123255809552,-3.6429317918688824,208.48661852736885,11.885314510025069
2018-11-30,4.157081566560217,1.2283160759764442,-17.751713547930343,-52.71714015537995,150.0096312109308,9.577347709160463,79.97564450409038,-805.3279254881492,-30.675347180699152,1.8637571431199056,105.27594083871305,97.74343306729904,14.905300832420826,60.25800809430231,62.158270251366034,45.22644684354192,11.870874012822096,-4.481023652539323,45.226446843541964,-7.129589993861988,-13.67447075023857,-1028.1010992913634,14.074588447141128,1.820656326186092,399.1551520273758,-30.385067991666794,-67.11705716618573,36.91137353868782,60.84427050883408,-255.07222330613808,-8.67347825460772,1071.9803870771377,8.835588414538876,-135.00350569812835,47.20998015009505,0.10079999485824587,1.4156805032966104,-1479.9885057942088,-11.303550018179976,205.47506352633675,-438.2932025527084,-27.086042531043347,3.440118005564841,-0.12895628426688055,433.64621171561794,47.62512769453383,-11.366331011267505,-5.6282145868223035,-63.900730508729765,42919.58475044396,31.247385847540208,-2.9467680385435173,-0.708644600807645,-4.1482393996423355,9.150990346873186,-32.15454436932441,5.767377598522216,13.219737896477909,-30.509584354617758,-0.011636735939073883,-2.61489750715576,14.58370158270796,1785.3358590200496,-19863.87229178101,5733.511578205274,-25597.38386998605,14.58370158270796,-31.768351363935835,-3.229962189177936,21.66254861702612,-55.02982060310998,148.41110243869662,20.271663339982865,-20.717419966962566,-4.3395755813746035,-2.962662941179957,-32.182529881613576,1536.663198823313,308.93264768944573,-21.020557384038227,-9.380909891377769,78.17310213821474,-0.10856157773612325,170.44341345191162,1.213958288109147,-386.6930668972198,221.32002847628195
2018-12-31,-29.23720015193845,0.762169469756799,3.692123465324193,-354.8029860826507,-51.38156633361394,147.8735337882096,8.495406643459575,-1241.800738008902,2.125705020217095,-244.53896808678425,1.8329607799954328,103.53638152203499,96.12833945444012,138.601922389877,7.156411383130191,75.84494984394355,25.89271477847387,-5.097121749022252,75.84494984394357,-5.3436138001411155,-2.455001331679002,-972.3561271815228,13.661583331052702,-1.2337598637552687,450.3669379187774,11.141670435924336,-143.85599561840164,89.6969010938092,47.88970463565477,-165.55305615668405,5.729415076101241,-903.7041470469376,-2.5602766181121197,55.310710175685244,13.283582419969832,-0.21636637259968694,-1.3540009333504792,189.19138781365967,-51.516329751197645,-186.20748930495276,61.9673232768404,-15.98735500642897,16.926402482810772,0.14461241862790275,-68.13416805630914,-15.014549903430634,-13.95694265782106,-2.852008791449524,-10.391140883166912,360.99427765089786,17.63168612714412,0.23813749458694744,-0.19980803134484404,-0.12799230314175247,-5.22281534232053,-26.081995487176073,-182.38103313608917,-8.972005000774061,-16.241525357729756,-0.020484982853422595,-1.4695981482749971,12.370738216233363,404.9057946921555,-19589.250199089758,15056.858214930398,-34646.108414019924,12.370738216233363,-310.40274839649373,0.3770054742333464,50.868805545956775,36.58343281670497,-38.86540725895975,48.83796067336738,-7.1549013526327965,-0.9092884834081687,-0.5667223165402433,1.0187632454438784,-6.302116326536634,-97.76701535653956,45.042948287960996,-36.62722534198406,128.92722267178578,-0.07531572161811678,-259.29313516217434,3.478366420947225,-466.3845298708321,24.79231322037606
2019-01-31,27.463464187664748,0.865529802466468,-22.140225949980422,67.0256206408207,-354.8485905541043,-52.24150959102581,147.67955921883106,-1098.6972151974676,1.5805068255816221,51.428155924211914,-245.20222484115226,1.8379322723810232,103.81720058700684,68.65238755676177,-42.74858003841292,29.452874906248496,-93.40522688434716,-10.635611761983558,29.452874906248542,-8.660688124300139,-32.27630980887477,-1089.7745910320878,-1.1843964777396452,10.79308008015997,452.1899778960456,-2.9645565520206105,-62.9923473268221,17.988869669843513,45.185836375454656,58.87229099025852,-2.692733748876298,-21.166647129298553,2.2627389263502593,-5.2475473498312795,-6.745190442941066,0.2185696457252071,2.156128324166478,-410.6086863414443,8.316340473596938,-68.3967312642821,-552.3057870671677,-4.11758319863975,-23.15043348989991,1.061323262662087,-1526.5432516564479,75.17868986664439,1.6304626072383712,0.02562141153214359,-1.6870315539152898,5158.8861476445745,-54.25835728032251,-19.918806198803495,0.13140876207569363,-2.1012359635220363,4.620532610642044,-6.754278184350142,-5.5603303891307405,64.11612888323225,-47.78557952662632,-0.0048505158459699604,-0.4745827430449907,75.19030506099017,2069.697428898732,55874.528912547976,29751.403658744646,26123.12525380263,75.19030506099017,32.375697235207554,4.688993263122022,-277.40091709420557,-290.196103591446,16.69039337146296,-269.2751291823382,0.026240446247277838,-3.407182004940907,-0.04634918010993516,16.822432940315444,-4281.255569530884,192.91827726283736,-327.6542132256658,4.4851270172569,262.2099149439164,-0.04256002623091204,-114.36967032507164,-19.52067594495334,781.7582287811476,-168.51102990875893
2019-02-28,9.208491254054016,2.258050848962636,17.63533528014082,-396.35563043972326,65.83619079934985,-348.1975910900154,-51.31192375232316,-1273.2344981249662,41.33275851410478,-301.9271084831397,50.41625585888774,-240.3776274416258,1.8017691288060427,68.67073768921415,-111.16059615079337,21.396019160027336,-94.44874193438287,-16.07005072823207,21.396019160027397,-8.721964006531408,15.658002934179816,-1036.2067784842802,-1.146076032557925,17.301236596091197,425.8411470858859,6.202187490842945,-88.51112670528964,16.81049554941891,-6.067862896379069,180.27346763555084,2.777557417065005,75.01920609231797,3.9633654691058027,49.0648651164484,-4.386228621016642,-0.3007897663256536,-0.7967376390508019,356.5289354684428,-60.49391032696985,481.4904213381095,456.30195256347156,-21.76454740043303,-35.652918253198436,0.6849396525455353,-658.7622980814185,10.50814356728074,-6.775555645541829,-0.12656858151404338,8.447527068862968,-5537.525578483153,32.41940189472391,-2.7994050797510965,-2.7130995347843765,1.249910022236186,-4.052558934288811,-6.069858328403143,-68.12591269297491,5.604376945152126,-6.92221807090209,-0.02161800112424661,-4.743022626214525,14.184669028834662,-150.8774656804817,-94597.72660045605,-31273.297718081158,-63324.428882374894,14.184669028834662,-120.81855479553087,3.565462922746697,97.4733601266343,46.94026075309975,-125.05919589822588,96.3726120073718,-0.12962658422026596,0.8661452880152467,-2.5188125661701193,-10.95428238694739,-3009.4476133441785,771.4653666114737,88.76315733127456,-19.17295782140104,43.32146748527157,-0.028921887760222864,-103.32132673374859,-4.205883900375262,-644.4695617303828,94.86423864351298
2019-03-29,-10.52529500407063,0.44004266053713786,7.366735254552411,398.73093856499764,-405.16264656792526,66.74927144740474,-355.22292820664387,-951.1086260305055,6.96201739881705,247.19870392644142,-307.28933463467456,51.311648680642584,-244.64673466617091,-25.46887538194926,-45.023024450369306,-20.07839286446993,-17.642569324710315,-18.792883642776548,-20.07839286446991,-17.90967711790281,-12.154434821425845,-2489.7437592083525,1.7156286809585441,21.634345535055687,226.61631840625637,130.67791460143576,-18.007147767628474,-59.7443363849619,-0.5964578319097855,89.61130783140186,19.158879409081752,-43.453203937095395,-6.224679524925328,-51.59003741342946,19.879088720431923,0.24029341032899154,-1.1752919840452525,584.6002560347821,53.528816651767556,43.759945139389515,487.505083451569,101.90977802032043,136.43158257010123,-1.0417335735738855,-113.00927315165745,173.84049831713946,-2.819712122297915,13.947953095334011,0.4500978920868022,-70444.01685904001,-61.05125436725807,-1.8196671110462646,0.049705776501554055,3.604295596015284,6.659814799636422,257.95152228825896,21.018208323473118,166.03806147113983,-51.584567272814155,-0.006826252039912495,-2.475062785430893,74.45446538689208,-124.4154667556204,71586.21765254065,31857.054939102614,39729.16271343874,74.45446538689208,72.08541051339398,13.013362141968393,-107.34473150322707,-15.106840851638669,202.2363423436036,-106.2937118367385,26.3872250239609,-1.2725065392363177,-0.24917018203543506,8.464795207098248,18897.1909543581,268.99383601874797,-127.40999996428788,24.134646848840703,304.38429040990377,0.12106759260862107,79.71745883956132,-4.390174713048374,842.3419470551722,-104.39609734248347
2019-04-30,6.829065872854833,0.8064574181808678,2.4170766446099603,141.39416665937208,400.31936446858526,-406.92152015378235,68.81573157438788,-1136.5560644429947,-19.714501812491815,103.01117746716015,248.73179256958517,-309.19509620059193,51.6298756964148,-21.69046994950051,63.651045657735345,-17.474890095861706,-24.40436250629374,-19.47265821535133,-17.474890095861657,-17.39657354997502,-13.733227458624043,-2563.0591591589086,-2.9559990583539384,20.715439832533985,232.55861748487575,123.86016167367933,59.82624837851381,-77.38674425785479,-6.791798110634666,112.78955131740236,13.474079291425845,-129.89200235019416,2.3331706682082043,-27.017037961846995,1.698731118760577,0.08621444439810588,-0.21946953171060654,-15.485944155818402,19.02440489474384,-425.91817939454,-200.22358680221893,26.450630572516786,16.282015364285257,0.18351453747569124,368.40630753257255,-5.329456446299446,19.511516316137488,5.5397927166685115,-2.3708757638664224,1622.2885499762633,-9.977954279710273,-4.734510845875391,-0.03899508381992689,-1.649547684445622,0.7346563503043058,10.960541096541874,94.77771806432384,-8.191879833511166,-16.96257764853982,-0.0023106823282843525,-1.5817905267246601,13.141459583350667,171.34410909689268,21092.437222363427,8809.205446715234,12283.231775647495,13.141459583350667,111.6981226231228,2.559860184751429,19.112003914639303,-5.6289914052500585,66.53184485204474,22.17125828415047,12.141584674296084,-1.2526022987222873,-0.5070604641797161,-0.45151037114145254,-1130.8372888498416,166.13514121565277,-23.36115717280211,17.7623060434114,11.387843711287132,-0.0005884102932685875,-239.17358995374624,-4.990851448472313,277.8262188730132,39.46055398405599
2019-05-31,-15.056916859746782,2.7481506603467585,8.54912918127589,-133.03382338483638,140.9415846991425,398.29397823801855,-405.0257206870703,-1287.5104825744215,-33.45750536039775,33.46369872513207,102.29627769215134,247.0055886088332,-307.0492756193438,217.90519715677138,128.807836391528,234.86652064335118,1018.3811697620936,10.007859461543383,234.86652064335127,-3.660047112659221,-47.21297051155653,-3039.190394293903,34.24914744936411,251.32303873657577,66.95239899876324,206.8969122134892,190.78340719214643,-269.30564529542175,8.515699078745445,-19.265682138561356,45.758215600287635,211.1901577011763,4.261010889686396,70.83374427633481,-6.285227675391866,0.10540095081680079,0.30492445783070177,40.18759536579199,-21.420811658297225,-191.29704296513222,508.73872826394444,5.227815443143243,-80.26483132262888,0.3521262784739778,762.9611799898066,-38.76878069226814,-32.871903331481235,-4.909285923838276,-59.42186184477163,57225.483021252774,-10.608450373615812,13.833822400080852,-14.872812590020487,-20.456100407584785,-56.53283087434204,28.160479399397218,33.4610669955141,-61.1329654005749,106.05218518967519,-0.02832833224443987,5.810350664714065,-113.18902312585092,-607.3675028831958,462002.40289425384,-20049.640679226257,482052.0435734815,-113.18902312585092,152.4656267642249,-9.045279609009548,-112.09961498821544,-143.2581196193708,-202.87322420096007,-110.18244503317992,-0.3220995922047152,-11.047489149486928,2.481967933799268,-3.805214509498569,-14820.75382306223,-536.0872643694966,-28.297621231594654,-20.077101880099917,969.3580948313702,-1.4334727554566458,-275.7474218917981,-7.849464909297161,867.029008714435,285.34018174787957
2019-06-28,13.53075971442981,3.401332167473016,-15.869897506108133,106.86589847675143,-134.9871599331746,139.69468036916223,401.45772907464044,-1189.1675970845458,-38.444580937133416,119.34535464790706,33.62113726743078,102.77755673350073,248.16768967033377,304.98510401535685,53.07626968589185,299.7317263338983,1065.1479093347668,12.16581651700808,299.7317263338984,-2.2045648216300555,-56.84559391104567,-1927.231447652844,65.18573750605731,332.313101152673,102.12971694430865,173.3782694282616,129.6882746200765,-309.50337484289975,0.7412043274230253,-120.42914511856374,52.773132361962894,-94.05676665388091,0.10846450606119618,-46.472306803464846,1.223937004368679,0.34557648944217334,0.8076961972415163,74.63897713525688,14.420745481007998,-444.5534009287029,-589.9581184989698,23.93302294382363,15.55585248543764,0.20427521489027045,-175.13890460504354,-21.975703276187005,-2.137026216881395,-11.034438886381919,-3.3743371120902452,-2483.1069258488133,-39.22765557153163,22.933128933216857,-3.3152872206465673,-11.574831890912463,-16.516264863979018,-104.02098665790072,-3.4570701513553104,-144.78048351570692,22.81294749117592,-0.09446375681109498,-0.38382149087767914,-40.52199306509672,-1076.1738903000396,200732.21497179847,10195.06736105564,190537.1476107426,-40.52199306509672,35.809439226834,0.9459153414841666,-108.47615208126709,2.353196122317158,-151.5282116266353,-115.09312648295963,-24.140478508282616,-2.048964508734045,0.023066813827078647,-9.025421719217363,-289.5682244123018,-255.71201573396684,-42.26889327798767,7.425648591856088,-701.5184535622884,0.22393181713894972,595.5139400471174,10.212291098670637,-590.9846745200259,-41.03848477740405
